NUM,Effort,Tran_Num,UseCase_Num,KSLOC,Personnel,Type,Priori_COCOMO_Estimate,COCOMO_Estimate,Activity_Num,Actor_Num,Avg_Actor,Boundary_Num,ControlNum,Entity_Num,Component_num,Attribute_num,Operation_num,class_num,Top_Level_Classes,Average_Depth_Inheritance_Tree,Average_Number_Of_Children_Per_Base_Class,Number_Of_Inheritance_Relationships,Depth_Inheritance_Tree,para_num,usage_num,real_num,assoc_num,externaloper_num,objectdata_num,avg_operation,avg_attribute,avg_parameter,avg_instVar,weightedoper_num,EI,EQ,INT,DM,CTRL,EXTIVK,EXTCLL,NT,Avg_TL,Avg_TD,Arch_Diff,UAW,TCF,EF,Simple_UC,Average_UC,Complex_UC,UUCP,UCP,EUCP,EXUCP,DUCP,SWTI,SWTII,SWTIII,NOET,NOAAE,NORT,NEM,NSR,NOA,NOS,WMC,MPC,NOCH,DIT,CBO,NIVPC,NUMS,NCI,NCIF,RR,NTLC,ANWMC,ADIT,NOCPBC,EIF,ILF,IFPUG,NI,NE,MKII,EXT,ERY,RED,WRT,COSMIC,DET,FTR,NT,NOC,NOA,NOUC,NOR,ANAPUC,ANRPUC,NOC,NOIR,NOUR,NORR,NOM,NOP,NOCAL,NOASSOC,ANMC,ANPC,ANCAC,ANASSOCC,ANRELC,NOC,NOAPC,NODET,NORET,NOMPC,NPPM,NMT
1,2191.183023,100,40,7.06,7,Website,1322,928,213,3,0.075,77,134,20,166,55,19,20,20,9.281628838,9.658697336,10,9,24,38,32,46,24,15,0.96,2.75,0.9,2.75,1.31,4,3,33,3,28,5,33,100,8.068966,4.735732,38.21246,24,1,1,6,9,5,195,195,250,247,232,250,247,232,0,55,0,13,29,55,20,2.5,0.64,0,9,0,2.75,0,0,0,0,20,0.06,9,0,0,0,511,99,99,226.7,99,99,99,99,396,0,0,4,20,0,20,0,0,0,20,0,0,0,27,24,55,0,1.01,0.44,2.75,0,0,20,2.75,0,0,0,0.54,29
2,240.4336515,34,18,7.78,8,Website,122,2332,79,7,0.388888889,46,18,9,61,10,17,9,9,6.595064569,5.566753094,6,8,15,44,25,6,29,5,1.2,1.111111,0.76,1.111111,1.33,2,12,11,4,15,5,11,34,9.666667,4.153846,40.15385,18,1,1,2,7,0,80,80,110,108,100,110,108,100,0,10,0,21,30,10,9,1.48,1.14,0,8,0,1.111111,0,0,0,0,9,0.09,8,0,0,0,191,34,34,78.5,34,34,34,34,136,0,0,3,9,0,9,0,0,0,9,0,0,0,20,19,10,0,0.91,0.87,1.111111,0,0,9,1.111111,0,0,0,0.95,23
3,599.7890215,59,14,7.65,7,Website,221,321,111,6,0.428571429,40,82,24,87,23,30,24,24,3.461783225,8.182138343,8,5,29,49,48,37,30,1,1.25,0.958333,1.208333,0.958333,3,2,19,7,2,19,3,7,59,18.21053,3.478445,63.34432,10,1,1,0,4,3,85,85,75,73,72,75,73,72,0,23,0,30,30,23,7,3,1.25,0,5,0,0.958333,0,0,0,0,24,0.125,5,0,0,0,107,0,0,2.86,0,0,0,0,0,0,0,6,24,0,7,0,0,0,24,0,0,0,30,29,23,0,1.25,1.208333,0.958333,0,0,24,0.958333,0,0,0,1.208333,30
4,587.6743635,81,22,12.04,8,Website,3212,982,172,4,0.181818182,78,72,15,126,69,31,15,15,5.184675673,5.474838029,7,8,11,70,58,38,22,12,1.08,2.48,0.76,3.18,1.23,2,10,17,4,28,3,17,81,13.53571,4.952637,67.03747,6,1,1,0,2,9,155,155,165,170,162,165,170,162,0,39,0,32,33,69,11,1.78,0.73,0,8,0,1.5,0,0,0,0,15,0.07,8,0,0,0,435,85,85,193.78,85,85,85,85,340,0,0,8,15,0,11,0,0,0,15,0,0,0,31,21,82,0,0.95,0.7,3.53,0,0,15,2.38,0,0,0,0.75,19
5,1061.871399,189,50,6.18,3,Information System,823,334,296,3,0.06,89,264,20,224,45,15,20,20,5.948464986,7.379962386,6,8,15,39,20,42,26,13,1.1,3.31,0.87,2.75,1.44,3,58,16,3,90,3,16,189,10.6,6.378068,67.60752,26,1,1,10,0,15,275,275,205,224,215,205,224,215,0,45,0,17,27,45,25,1.99,0.85,0,8,0,1.44,0,0,0,0,20,0.06,8,0,0,0,893,188,188,425.8,188,188,188,188,752,0,0,0,20,0,25,0,0,0,20,0,0,0,22,25,53,0,0.72,0.52,2.94,0,0,20,1.77,0,0,0,0.77,26
6,1689.413594,281,36,5.82,3,Mobile App,923,283,397,2,0.055555556,183,200,20,300,32,20,20,20,8.968769055,8.342180146,6,10,3,27,34,7,20,6,1,1.6,0.15,1.6,1.2,3,142,32,2,64,6,32,281,26.71875,6.192299,165.4505,10,1,1,1,0,17,260,260,260,273,275,260,273,275,0,32,0,20,20,32,18,1.2,1,0,10,0,1.6,0,0,0,0,20,0.06,10,0,0,0,1332,281,281,634.38,281,281,281,281,1124,0,0,19,20,0,18,0,0,0,20,0,0,0,20,3,32,0,1,0.15,1.6,0,0,20,1.6,0,0,0,0.15,20
7,219.0377821,39,20,7.7,4,Information System,823,1329,84,7,0.35,42,24,14,60,25,30,14,14,9.715932115,9.287164816,9,10,20,69,41,30,20,5,0.92,1.785714,0.85,1.785714,1.61,4,23,18,4,21,13,18,39,6.571429,3.500433,23.00284,6,1,1,2,7,1,95,95,90,86,70,90,86,70,0,25,0,28,33,25,10,2.74,0.52,0,10,0,1.785714,0,0,0,0,14,0.08,10,0,0,0,241,39,39,90.48,39,39,39,39,156,0,0,5,14,0,10,0,0,0,14,0,0,0,26,24,25,0,0.85,0.63,1.785714,0,0,14,1.785714,0,0,0,0.5,32
8,681.7779407,88,30,8.7,5,Information System,2331,1832,179,3,0.1,68,54,20,131,37,7,20,20,5.984414034,8.695707396,6,7,15,15,12,71,7,6,0.35,1.85,0.64,1.85,0.6,4,13,28,3,52,14,28,88,6.942308,4.786701,33.23075,10,1,1,1,8,6,175,175,205,203,182,205,203,182,0,37,0,7,7,37,15,0.6,0.35,0,7,0,1.85,0,0,0,0,20,0.03,7,0,0,0,451,88,88,201.02,88,88,88,88,352,0,0,2,20,0,15,0,0,0,20,0,0,0,7,25,37,0,0.35,0.87,1.85,0,0,20,1.85,0,0,0,0.57,7
9,2074.171926,159,46,8.32,9,Tool,231,827,332,4,0.086956522,64,312,36,252,15,64,36,36,5.985305663,9.508071053,6,7,1,127,76,201,64,6,1.777778,0.416667,0.027778,0.416667,7.5,2,30,18,4,83,4,18,159,9.240964,3.146089,29.0729,11,1,1,2,4,17,305,305,295,286,267,295,286,267,0,15,1,64,64,15,23,7.5,1.777778,0,7,0,0.416667,0,0,0,0,36,0.208333,7,0,0,0,914,159,159,364.74,159,159,159,159,636,0,0,7,36,0,23,0,0,0,36,0,0,1,64,1,15,0,1.777778,0.027778,0.416667,0,0,36,0.416667,0,0,0,0.027778,64
10,2206.262549,144,42,10.93,9,Website,842,928,285,5,0.119047619,167,28,26,212,71,72,26,26,3.966972573,8.545885729,6,4,6,155,87,88,72,2,2.769231,2.730769,0.230769,2.730769,3.9,4,13,43,5,56,13,43,144,10.53571,5.927967,62.45536,9,1,1,2,6,13,265,265,265,272,277,265,272,277,0,71,0,72,72,71,21,3.9,2.769231,0,4,0,2.730769,0,0,0,0,26,0.15,4,0,0,0,742,143,143,326.82,143,143,143,143,572,0,0,5,26,0,21,0,0,0,26,0,0,0,72,6,71,0,2.769231,0.230769,2.730769,0,0,26,2.730769,0,0,0,0.230769,72
11,207.9651543,31,18,9.71,7,Tool,574,485,79,3,0.166666667,47,16,13,55,10,7,13,13,8.445700947,7.614330655,6,11,25,16,12,10,7,4,0.538462,0.769231,0.65,0.769231,0.9,5,31,14,4,18,11,14,31,5.333333,4.057143,21.6381,20,1,1,5,3,1,70,70,95,93,88,95,93,88,0,10,0,7,7,10,9,0.9,0.538462,0,11,0,0.769231,0,0,0,0,13,0.069231,11,0,0,0,216,32,32,75.06,32,32,32,32,128,0,0,2,13,0,9,0,0,0,13,0,0,0,7,20,10,0,0.538462,0.48,0.769231,0,0,13,0.769231,0,0,0,0.71,7
12,5385.354575,188,52,9.202,8,Website,842,193,499,8,0.153846154,130,320,46,381,98,78,46,46,7.202829345,6.656399029,7,9,97,104,109,119,78,4,1.695652,2.130435,2.108696,2.130435,7.2,21,29,26,21,35,9,47,188,32.99048,7.779875,256.6618,11,1,1,0,6,20,360,360,350,378,364,350,378,364,0,98,0,78,78,98,26,7.2,1.695652,0,9,0,2.130435,0,0,0,0,46,0.156522,9,0,0,0,2560,503,503,1137.64,503,503,503,503,2012,0,0,18,46,0,26,0,0,0,46,0,0,0,78,97,98,0,1.695652,2.108696,2.130435,0,0,46,2.130435,0,0,0,2.108696,78
13,1837.504645,58,20,9.45,7,Mobile App,1997.28,870.0086,131,7,0.35,88,10,17,100,35,16,17,17,7.229565867,8.848408404,10,9,20,40,29,44,21,5,0.64,2.058824,0.76,2.058824,2.69,4,18,6,3,6,15,6,58,26,4.523271,117.605,8,1,1,1,4,5,120,120,155,158,177,155,158,177,0,35,0,26,18,35,10,1.88,0.5,0,9,0,2.058824,0,0,0,0,17,0.1,9,0,0,0,300,58,58,132.78,58,58,58,58,232,0,0,5,17,0,10,0,0,0,17,0,0,0,30,17,35,0,0.64,0.8,2.058824,0,0,17,2.058824,0,0,0,0.45,18
