id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Student Progress,0,0,198,0,0,0
2,approval status,0,0,0,0,0,0
3,calendar year,0,0,0,0,0,0
4,college type,0,0,0,0,0,0
5,counselor data,0,0,0,0,0,0
6,course constraints,0,0,0,0,0,0
7,course detail,0,0,0,0,0,0
8,course section,0,0,0,0,0,0
9,course type,0,0,0,0,0,0
10,course_constraints_exception,0,0,0,0,0,0
11,grade values,0,0,0,0,0,0
12,graduate requirements,0,0,0,0,0,0
13,menu list,0,0,0,0,0,0
14,other requirements,0,0,0,0,0,0
15,pair course,0,0,0,0,0,0
16,period type,0,0,0,0,0,0
17,requirement type,0,0,0,0,0,0
18,scheduler data,0,0,0,0,0,0
19,school name,0,0,0,0,0,0
20,semester,0,0,0,0,0,0
21,sequence course,0,0,0,0,0,0
22,student data,0,0,198,0,0,0
23,student final schedule,0,0,0,0,0,0
24,student preference,0,0,0,0,0,0
25,teacher data,0,0,0,0,0,0
26,teacher final schedule,0,0,0,0,0,0
27,Class1,0,0,0,0,0,0
28,Displaymessagepage,0,0,0,0,0,0
29,Lockbutton,0,0,0,0,0,0
