<<<<<<< HEAD
Setup Application...
platforms: f:/D/Android_SDK/platforms project: f:/D/AndroidAnalysis/APKs/AntennaPod_3_18.apk
compoents and callbacks: start
component: de.danoeh.antennapod.activity.MediaplayerActivity
methodonCreate
compoents and callbacks: end
class id: d9e4c6bf-8ec8-4202-85d3-c65b5470cbd2; composite id: 1caaba1c-b3d2-42e2-9917-d2a6b4865529
class id: 4a0e80f0-b866-4d56-bbd4-2dc60edd5b6e; composite id: 024fb47c-3664-4872-9155-4f2b5f283668
class id: c5ebc001-7b54-45fe-8651-aac14afba424; composite id: 465c9aba-bbab-4382-9e29-26b88b328192
class id: bbb65b54-8050-4231-86a8-efd85872d159; composite id: 1106b3af-66a4-4f50-a219-e7908d01eaf6
class id: 1351bcae-a585-4a27-bfb6-9ccbf4be52bf; composite id: 06d0a011-5231-4736-abe9-bef16e52dcf6
class id: 3dbbd15d-22ac-4021-908a-4d327b4677a8; composite id: 1106b3af-66a4-4f50-a219-e7908d01eaf6
class id: 0eef9751-f008-48b6-8b9f-477abcf868e7; composite id: bd89d0d6-4c8c-438a-b28e-965873d9d3d2
class id: 144b509f-74f0-4629-b26b-5a64be0f18d5; composite id: 961b0bdd-c888-4851-a8fd-6982c7ac3aaa
class id: fd18ec14-c6eb-4eb3-809d-146233572217; composite id: 6502b66f-51c2-4ed3-8397-4637dc3bbede
class id: 74fa625a-6b67-4b85-872b-4b7b3ac7e095; composite id: 160925b8-1407-4455-99a6-7c4528390a13
class id: 65484e10-4d4d-4b3f-8a96-ae88b6ec9818; composite id: d5dcab41-1e55-4b06-93ca-9c3b36b6260f
class id: 573bd390-344a-41d5-a88a-f8e88e25d232; composite id: 5a047f5b-068b-4cb6-9b98-158108ba9c3f
class id: e61cdb39-b416-42ad-bc0d-199976f17627; composite id: e4726b4a-3229-4c8e-b516-58adc1fe30e2
class id: a0392ead-75e7-4a50-aeff-803c84b1e33f; composite id: 0c32a4cc-fa92-42d7-af89-aee1e4fa805f
class id: 062cda89-d2dd-4e7e-97ce-ac6053b38a21; composite id: a45685ad-138b-4069-9037-592cf5897513
class id: 7f70847b-bda3-4aef-a774-714e968f981d; composite id: a22205b1-772b-485d-a690-d4ce66be33df
class id: a4ebc819-1a74-4fdb-8e68-f263d258daef; composite id: da3a2a16-1eed-4c2a-b00e-fefc40f1dc34
class id: 5a0e1ada-ef54-47d8-b55b-6703c96b1150; composite id: 6502b66f-51c2-4ed3-8397-4637dc3bbede
class id: 2e0d003e-177a-4d5b-b653-87af1ed9f068; composite id: d5dcab41-1e55-4b06-93ca-9c3b36b6260f
class id: 11a522a0-cafd-4a62-a4b0-381599bafcc8; composite id: 85b64d3e-121b-4ead-854c-609bcd364fc8
