id,element,useCase,type,outboundDegree,inboundDegree
1,Administrator:Report button,Report generation,0,undefined,undefined
2,Administrator:unauthorized error message,Report generation,0,undefined,undefined
3,Administrator:report detail page,Report generation,0,undefined,undefined
4,Administrator:input information invalid message,Report generation,0,undefined,undefined
5,Administrator:report generation page,Report generation,0,undefined,undefined
6,Case Manager:unauthorized error message,Report generation,0,undefined,undefined
7,Case Manager:input information invalid message,Report generation,0,undefined,undefined
8,Case Manager:report generation page,Report generation,0,undefined,undefined
9,Case Manager:report detail page,Report generation,0,undefined,undefined
10,Case Manager:Report button,Report generation,0,undefined,undefined
11,General staff:report generation page,Report generation,0,undefined,undefined
12,General staff:Report button,Report generation,0,undefined,undefined
13,General staff:unauthorized error message,Report generation,0,undefined,undefined
14,Report button:validate role of user,Report generation,0,undefined,undefined
15,save report to db:case,Report generation,0,undefined,undefined
16,display report generation page:report generation page,Report generation,0,undefined,undefined
17,validate role of user:display report generation page,Report generation,0,undefined,undefined
18,save report to db:document,Report generation,0,undefined,undefined
19,validate input information for the report:input information invalid message,Report generation,0,undefined,undefined
20,report detail page:print,Report generation,0,undefined,undefined
21,save report to db:report detail page,Report generation,0,undefined,undefined
22,report generation page:validate input information for the report,Report generation,0,undefined,undefined
23,validate role of user:role,Report generation,0,undefined,undefined
24,save report to db:user,Report generation,0,undefined,undefined
25,validate input information for the report:save report to db,Report generation,0,undefined,undefined
26,validate role of user:unauthorized error message,Report generation,0,undefined,undefined
27,stl#Administrator:Report button,Report generation,0,undefined,undefined
28,stl#Administrator:unauthorized error message,Report generation,0,undefined,undefined
29,stl#Administrator:report detail page,Report generation,0,undefined,undefined
30,stl#Administrator:input information invalid message,Report generation,0,undefined,undefined
31,stl#Administrator:report generation page,Report generation,0,undefined,undefined
32,stl#Case Manager:unauthorized error message,Report generation,0,undefined,undefined
33,stl#Case Manager:input information invalid message,Report generation,0,undefined,undefined
34,stl#Case Manager:report generation page,Report generation,0,undefined,undefined
35,stl#Case Manager:report detail page,Report generation,0,undefined,undefined
36,stl#Case Manager:Report button,Report generation,0,undefined,undefined
37,stl#General staff:report generation page,Report generation,0,undefined,undefined
38,stl#General staff:Report button,Report generation,0,undefined,undefined
39,stl#General staff:unauthorized error message,Report generation,0,undefined,undefined
