id,attribute,type,element,diagram
1,city,char,Provider Profile,Domain Objects
2,email,char,Provider Profile,Domain Objects
3,Lifestyle,char,Provider Profile,Domain Objects
4,Name,char,Provider Profile,Domain Objects
5,Password,char,Provider Profile,Domain Objects
6,speciality,char,Provider Profile,Domain Objects
7,state,char,Provider Profile,Domain Objects
8,Username,char,Provider Profile,Domain Objects
9,zipcode,int,Provider Profile,Domain Objects
10,consumerUsername,char,Network Information,Domain Objects
11,notifyByMailFlag,int,Network Information,Domain Objects
12,providerUsername,char,Network Information,Domain Objects
13,city,char,Consumer Profile,Domain Objects
14,email,char,Consumer Profile,Domain Objects
15,Name,char,Consumer Profile,Domain Objects
16,password,char,Consumer Profile,Domain Objects
17,specialityInterested,char,Consumer Profile,Domain Objects
18,state,char,Consumer Profile,Domain Objects
19,Username,char,Consumer Profile,Domain Objects
20,zipcode,int,Consumer Profile,Domain Objects
21,date,Date,Rating and review information,Domain Objects
22,rating,int,Rating and review information,Domain Objects
23,review,char,Rating and review information,Domain Objects
24,code,char,Medical services pricing information,Domain Objects
25,description,char,Medical services pricing information,Domain Objects
26,file,blob,Medical services pricing information,Domain Objects
27,medicalInvoice,blob,Medical services pricing information,Domain Objects
28,picture,blob,Medical services pricing information,Domain Objects
29,price,int,Medical services pricing information,Domain Objects
30,ProviderUsername,char,Medical services pricing information,Domain Objects
31,speciality,char,Medical services pricing information,Domain Objects
