id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,$help://use_case_model_pattern.htm,0,0,0,0,0,0
2,$help://usecasediagram.htm,0,0,0,0,0,0
3,$help://actor.htm,0,0,0,0,0,0
4,System Boundary,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,0,0,0,0,0
6,Account,0,0,0,0,0,0
7,Activity_code,0,0,0,0,0,0
8,Admin,0,0,0,0,0,0
9,Case Manager,0,0,0,0,0,0
10,Case_account,0,0,0,0,0,0
11,Case_addresses,0,0,0,0,0,0
12,Case_answers,0,0,0,0,0,0
13,Case_contacts,0,0,0,0,0,0
14,Case_education_history,0,0,0,0,0,0
15,Case_email,0,0,0,0,0,0
16,Case_ethnicities,0,0,0,0,0,0
17,Case_work_history,0,0,0,0,0,0
18,Cases,0,0,0,0,0,0
19,Cases_Activities,0,0,0,0,0,0
20,Document,0,0,0,0,0,0
21,Document_version,0,0,0,0,0,0
22,Documentation Type,0,0,0,0,0,0
23,Education Level,0,0,0,0,0,0
24,Email Template,0,0,0,0,0,0
25,Ethnicities,0,0,0,0,0,0
26,General_User,0,0,0,0,0,0
27,Groups,0,0,0,0,0,0
28,Limited_User,0,0,0,0,0,0
29,Manager,0,0,0,0,0,0
30,Password,0,0,0,0,0,0
31,Questions,0,0,0,0,0,0
32,Security Question,0,0,0,0,0,0
33,Services,0,0,0,0,0,0
34,Template Attachment,0,0,0,0,0,0
35,User Security Question,0,0,0,0,0,0
36,User_tokens,0,0,0,0,0,0
37,Users,0,0,0,0,0,0
38,Class1,0,0,0,0,0,0
39,db,0,0,0,0,0,0
40,download,0,0,0,0,0,0
