Name,Admin deletes photo
TotalLinks,9.5
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Actor,1,0
cancel deletion,1,1
change mode,1,0
confirm delete photos,1,1
photo,0,2
photo list,3,3
pop up photo connection error,1,1
select photos,1,2

Name,Admin searches for photo by event
TotalLinks,17.5
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Actor,3,0
Admin page,0,3
Display event list,1,1
Event list,1,4
Get event list,3,1
Get photo list,2,1
Photo list,0,1
Pop up photo connection error,1,1
Search box,0,4
display photo list,1,1
event,1,1
photo,1,1
pop up event connection error,2,0

Name,Admin searches for photo by user
TotalLinks,17.5
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Actor,3,0
Account,1,1
Admin page,0,4
Display user list,1,1
Get photo list,2,1
Get user list,3,1
Photo list,0,1
Pop up photo connection error,1,1
Search box,0,3
User list,1,4
display photo list,1,1
photo,1,1
pop up event connection error,2,0

Name,Automatic deletion
TotalLinks,7.5
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Actor,3,0
Delete expired events automatically,1,2
delete expired location photos automatically,1,2
delete photos related to expired events automatically,1,2
event,0,1
photo,0,2

Name,Create Account
TotalLinks,14.5
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Actor,1,0
Account,0,1
Display pop-up "Password do not match" on Sign up Screen,2,0
Display pop-up "invalid Useername or Username is already in use" on Sign Up Screen,1,1
Display pop-up "invalid email or email is already in use" on Sign Up Screen,1,1
Display pop-up "invalid password" on Sign Up Screen,1,1
Sign up Screen,1,6
User Collection,0,1
verify confirm password,0,1
verify email,2,1
verify password,2,1
verify username,3,1

Name,Create Profile
TotalLinks,10.5
ActorNum,0
BoundaryNum,0
ControlNum,0
Element, Outbound, Inbound
Actor,1,0
Display Selected Photo on Profile Photo Screen,1,1
Display available photos on Photos Screen,1,2
Display photo on  Profile photo screen,2,0
Display pop-up "Password do not match" on Sign up Screen,1,0
