Proj,Simple_Actors,Average_Actors,Complex_Actors,UAW,Simple_UC,Average_UC,Complex_UC,UUCW,UUCP,TCF,EF,UCP,Real_P20,Real_Effort_Person_Hours,Use_Case_Num,Sector,KSLOC,Language,Methodology,Application_Type,DataDonator
1,1,1,2,9,6,10,15,355,364,0.81,0.84,247.6656,398.5,7970,31,Manufacturing,1,Java,Other,Other,D1
2,1,2,1,8,4,20,15,445,453,0.99,0.99,443.9853,398.1,7962,39,,1,Other,Other,Other,D1
3,0,0,3,9,1,5,20,355,364,1.03,0.8,299.936,396.75,7935,26,Banking,1,C#,Other,Business Application,D1
4,0,1,2,8,5,10,15,350,358,0.9,0.91,293.202,390.25,7805,30,Communication,1,C++,Other,Real-Time application,D1
5,1,2,1,8,1,10,16,345,353,0.9,0.91,289.107,387.9,7758,27,Manufacturing,1,Other,Waterfall,Real-Time Application,D1
6,2,0,2,8,1,13,14,345,353,0.99,0.99,345.9753,382.15,7643,28,Insurance,1,Java,Personal Software Process (PSP),Business Application,D1
7,0,2,1,7,3,18,15,420,427,0.94,1.02,409.4076,376.6,7532,36,Communication,1,Java,Rapid Application Development,Business Application,D1
8,0,1,2,8,0,16,12,340,348,1.03,0.8,286.752,372.55,7451,28,Wholesale & Retail,1,C,Other,Business Application,D1
9,,1,2,8,2,10,15,335,343,0.94,1.02,328.8684,372.45,7449,27,Banking,1,C#,Other,Business Application,D1
10,4,0,1,7,4,14,17,415,422,1,0.98,423.899,371.35,7427,35,,1,Java,Other,Other,D1
11,1,2,1,8,5,16,10,335,343,0.92,0.78,246.1368,370.3,7406,31,Service Industry,1,C#,Other,Business Application,D1
12,0,1,2,8,1,10,15,330,338,0.85,0.89,255.697,368.25,7365,26,Communication,1,CSP,Other,Business Application,D1
13,1,0,2,7,9,8,19,410,417,0.75,0.81,253.3275,367.5,7350,36,Professional Services,1,C#,Other,Business Application,D1
14,1,0,2,7,5,8,20,405,412,1.02,1,455.9604,365.15,7303,33,Electronics & Computers,1,C#,Unified Process and its variants,Business Application,D1
15,0,1,2,8,2,15,11,325,333,1,0.95,346.40325,362.6,7252,28,,1,C++,Other,Other,D1
16,0,1,2,8,1,8,16,325,333,0.92,0.78,238.9608,362.25,7245,25,Insurance,1,C#,Waterfall,Other,D1
17,0,2,1,7,2,15,16,400,407,0.75,0.81,247.2525,358.3,7166,33,Banking,1,.Net,Other,Business Application,D1
18,2,1,1,7,5,11,17,390,397,0.965,0.755,289.244275,355.95,7119,33,Government,1,C#,Other,Mathematically-Intensive Application,D1
19,0,1,2,8,3,9,14,315,323,0.92,0.78,231.7848,355.55,7111,26,Communication,1,C++,Other,Mathematically-Intensive Application,D1
20,4,2,0,8,2,14,11,315,323,1.05,0.95,322.1925,352.2,7044,27,Medical & Health Care,1,Other,Other,Other,D1
21,1,0,2,7,5,14,15,390,397,0.71,0.73,205.7651,352,7040,34,Government,1,Java,Other,Business Application,D1
22,2,1,1,7,3,23,10,395,402,1.02,1,444.8934,351.4,7028,36,Insurance,1,C#,Waterfall,Business Application,D1
23,0,1,2,8,1,16,10,315,323,1.03,0.8,266.152,347.1,6942,27,,1,XML,Other,Business Application,D1
24,1,0,2,7,1,15,10,305,312,0.965,0.755,227.3154,340.7,6814,26,Communication,1,Other,Waterfall,Mathematically-Intensive Application,D1
25,0,0,3,9,2,19,12,380,389,0.78,0.79,239.7018,340.45,6809,33,Service Industry,1,C#,Other,Business Application,D1
26,0,1,2,8,2,20,11,375,383,0.98,0.97,364.0798,340.1,6802,33,Electronics & Computers,1,C#,Waterfall,Other,D1
