id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff,Complexity
1,stl#User:Add new pages page->User:Add new pages page->Add new pages page:Add new pages->Add new pages:Pages db,Add new pages,TRAN_NA,4,3,8,3,32,15
2,stl#User:Add new pages page->User:Add new pages page->Add new pages page:Add new pages->Add new pages:Show confirmation page ->Show confirmation page :Homepage,Add new pages,TRAN_NA,5,4,8,4,40,4
3,stl#User:Add new pages page->User:Add new pages page->Add new pages page:Add new pages->Add new pages:Show confirmation page ->Show confirmation page :Add new pages page->Add new pages page:Add new pages,Add new pages,TRAN_NA,6,5,8,5,48,3
4,stl#User:Homepage->User:Homepage,Add new pages,CTRL;EXTCLL;INT,2,1,8,1,16,3
5,stl#User:Add/Remove / Update   Product  page->User:Add/Remove / Update   Product  page->Add/Remove / Update   Product  page:Add/Remove / Update   Product from shopping cart->Add/Remove / Update   Product from shopping cart:Product db,Add/Remove Product in Shopping cart,TRAN_NA,4,9,5,3,20,14
6,stl#User:Add/Remove / Update   Product  page->User:Add/Remove / Update   Product  page->Add/Remove / Update   Product  page:Add/Remove / Update   Product from shopping cart->Add/Remove / Update   Product from shopping cart:Show confirmation page ->Show confirmation page :Homepage,Add/Remove Product in Shopping cart,TRAN_NA,5,7,4,4,20,2
7,stl#User:Add/Remove / Update   Product  page->User:Add/Remove / Update   Product  page->Add/Remove / Update   Product  page:Add/Remove / Update   Product from shopping cart->Add/Remove / Update   Product from shopping cart:Show confirmation page ->Show confirmation page :Add/Remove / Update   Product  page->Add/Remove / Update   Product  page:Add/Remove / Update   Product from shopping cart,Add/Remove Product in Shopping cart,TRAN_NA,6,11,4.6,5,27.6,16
8,stl#User:Change website designs  page->User:Change website designs  page->Change website designs  page:Change website designs->Change website designs:Show confirmation page ->Show confirmation page :Homepage,Change website designs,TRAN_NA,5,4,4,4,20,10
9,stl#User:Change website designs  page->User:Change website designs  page->Change website designs  page:Change website designs->Change website designs:Show confirmation page ->Show confirmation page :Change website designs  page->Change website designs  page:Change website designs,Change website designs,TRAN_NA,6,5,4.6,5,27.6,16
10,stl#User:Change website designs  page->User:Change website designs  page->Change website designs  page:Change website designs->Change website designs:Websites designs  db,Change website designs,TRAN_NA,4,3,5,3,20,6
11,stl#User:Contact the admin page->User:Contact the admin page->Contact the admin page:Choose a contact form ->Choose a contact form :Show confirmation page ->Show confirmation page :Homepage,Contact the admin using the contact form,CTRL;EXTCLL;INT,5,4,4.25,4,21.25,16
12,stl#User:Contact the admin page->User:Contact the admin page->Contact the admin page:Choose a contact form ->Choose a contact form :Show confirmation page ->Show confirmation page :Contact the admin page->Contact the admin page:Choose a contact form ,Contact the admin using the contact form,CTRL,6,5,5,5,30,7
13,stl#User:Contact the admin page->User:Contact the admin page->Contact the admin page:Choose a contact form ->Choose a contact form :Admin db,Contact the admin using the contact form,CTRL,4,5,3.666666667,3,14.66666667,1
