id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff,Complexity
1,stl#User:Add new pages page->User:Add new pages page->Add new pages page:Add new pages->Add new pages:Pages db,Add new pages,TRAN_NA,4,3,NaN,undefined,NaN,13
2,stl#User:Add new pages page->User:Add new pages page->Add new pages page:Add new pages->Add new pages:Show confirmation page ->Show confirmation page :Homepage,Add new pages,TRAN_NA,5,4,NaN,undefined,NaN,15
3,stl#User:Add new pages page->User:Add new pages page->Add new pages page:Add new pages->Add new pages:Show confirmation page ->Show confirmation page :Add new pages page->Add new pages page:Add new pages,Add new pages,TRAN_NA,6,5,NaN,undefined,NaN,14
4,stl#User:Homepage->User:Homepage,Add new pages,CTRL;EXTCLL;INT,2,1,NaN,undefined,NaN,9
5,stl#User:Add/Remove / Update   Product  page->User:Add/Remove / Update   Product  page->Add/Remove / Update   Product  page:Add/Remove / Update   Product from shopping cart->Add/Remove / Update   Product from shopping cart:Product db,Add/Remove Product in Shopping cart,TRAN_NA,4,9,NaN,undefined,NaN,15
6,stl#User:Add/Remove / Update   Product  page->User:Add/Remove / Update   Product  page->Add/Remove / Update   Product  page:Add/Remove / Update   Product from shopping cart->Add/Remove / Update   Product from shopping cart:Show confirmation page ->Show confirmation page :Homepage,Add/Remove Product in Shopping cart,TRAN_NA,5,7,NaN,undefined,NaN,14
7,stl#User:Add/Remove / Update   Product  page->User:Add/Remove / Update   Product  page->Add/Remove / Update   Product  page:Add/Remove / Update   Product from shopping cart->Add/Remove / Update   Product from shopping cart:Show confirmation page ->Show confirmation page :Add/Remove / Update   Product  page->Add/Remove / Update   Product  page:Add/Remove / Update   Product from shopping cart,Add/Remove Product in Shopping cart,TRAN_NA,6,11,NaN,undefined,NaN,13
8,stl#User:Change website designs  page->User:Change website designs  page->Change website designs  page:Change website designs->Change website designs:Show confirmation page ->Show confirmation page :Homepage,Change website designs,TRAN_NA,5,4,NaN,undefined,NaN,8
9,stl#User:Change website designs  page->User:Change website designs  page->Change website designs  page:Change website designs->Change website designs:Show confirmation page ->Show confirmation page :Change website designs  page->Change website designs  page:Change website designs,Change website designs,TRAN_NA,6,5,NaN,undefined,NaN,12
10,stl#User:Change website designs  page->User:Change website designs  page->Change website designs  page:Change website designs->Change website designs:Websites designs  db,Change website designs,TRAN_NA,4,3,NaN,undefined,NaN,5
11,stl#User:Contact the admin page->User:Contact the admin page->Contact the admin page:Choose a contact form ->Choose a contact form :Show confirmation page ->Show confirmation page :Homepage,Contact the admin using the contact form,CTRL;EXTCLL;INT,5,4,NaN,undefined,NaN,13
12,stl#User:Contact the admin page->User:Contact the admin page->Contact the admin page:Choose a contact form ->Choose a contact form :Show confirmation page ->Show confirmation page :Contact the admin page->Contact the admin page:Choose a contact form ,Contact the admin using the contact form,CTRL,6,5,NaN,undefined,NaN,4
13,stl#User:Contact the admin page->User:Contact the admin page->Contact the admin page:Choose a contact form ->Choose a contact form :Admin db,Contact the admin using the contact form,CTRL,4,5,NaN,undefined,NaN,13
14,stl#User:Maintain  blog   page->User:Maintain  blog   page->Maintain  blog   page:Manage a  blog->Manage a  blog:Show confirmation page ->Show confirmation page :Maintain  blog   page->Maintain  blog   page:Manage a  blog,Maintain blog,TRAN_NA,6,13,NaN,undefined,NaN,6
15,stl#User:Maintain  blog   page->User:Maintain  blog   page->Maintain  blog   page:Manage a  blog->Manage a  blog:Show confirmation page ->Show confirmation page :Homepage,Maintain blog,TRAN_NA,5,8,NaN,undefined,NaN,4
16,stl#User:Maintain  blog   page->User:Maintain  blog   page->Maintain  blog   page:Manage a  blog->Manage a  blog:Blog db,Maintain blog,TRAN_NA,4,9,NaN,undefined,NaN,3
17,stl#User:Updated by social media  page->User:Updated by social media  page->Updated by social media  page:Update social media->Update social media:Social media db,Updated via Social Media,CTRL,4,3,NaN,undefined,NaN,14
18,stl#User:Updated by social media  page->User:Updated by social media  page->Updated by social media  page:Update social media->Update social media:Show confirmation page ->Show confirmation page :Updated by social media  page->Updated by social media  page:Update social media,Updated via Social Media,CTRL,6,5,NaN,undefined,NaN,5
19,stl#User:Updated by social media  page->User:Updated by social media  page->Updated by social media  page:Update social media->Update social media:Show confirmation page ->Show confirmation page :Homepage,Updated via Social Media,CTRL;EXTCLL;INT,5,4,NaN,undefined,NaN,5
