id,transaction,useCase,transactional, TL, DETs, TD, TC, Arch_Diff,Complexity
1,stl#User:read task->User:read task->read task:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,CTRL,4,3,6.666666667,3,26.66666667,12
2,stl#User:give their responses->User:give their responses->give their responses:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,4,3,4.333333333,3,17.33333333,4
3,stl#User:Click Select another scenario button->User:Click Select another scenario button->Click Select another scenario button:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,CTRL,4,3,6.666666667,3,26.66666667,3
4,stl#User:clicks continue button->User:clicks continue button->clicks continue button:Answers from page stored as cookie->Answers from page stored as cookie:loads response statistics page->loads response statistics page:loads Communication Technique->loads Communication Technique:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,7,6,4.833333333,6,33.83333333,16
5,stl#User:clicks on radio buttons of answers->User:clicks on radio buttons of answers->clicks on radio buttons of answers:Answers from page stored as cookie->Answers from page stored as cookie:loads response statistics page->loads response statistics page:loads Communication Technique->loads Communication Technique:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,7,6,4.833333333,6,33.83333333,2
6,stl#User:reads question->User:reads question->reads question:Answers from page stored as cookie->Answers from page stored as cookie:loads response statistics page->loads response statistics page:loads Communication Technique->loads Communication Technique:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,7,6,5.666666667,6,39.66666667,2
7,stl#User:clicks next->User:clicks next->clicks next:Answers from page stored as cookie->Answers from page stored as cookie:loads response statistics page->loads response statistics page:loads Communication Technique->loads Communication Technique:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,7,6,4.833333333,6,33.83333333,10
8,stl#User:reads scenario memo->User:reads scenario memo->reads scenario memo:Answers from page stored as cookie->Answers from page stored as cookie:loads response statistics page->loads response statistics page:loads Communication Technique->loads Communication Technique:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,7,6,5.666666667,6,39.66666667,16
9,stl#User:Click Continue button->User:Click Continue button->Click Continue button:loads response statistics page->loads response statistics page:loads Communication Technique->loads Communication Technique:Answers submitted to system->Answers submitted to system:Scenario list loaded,Take scenario team quiz,TRAN_NA,6,5,5.6,5,33.6,1
10,stl#User:Click on Database button on sidebar->User:Click on Database button on sidebar->Click on Database button on sidebar:Shows database information->Shows database information:Displays list of tables along with empty/drop buttons next to them->Displays list of tables along with empty/drop buttons next to them:Responses deleted from table->Responses deleted from table:Homepage,clear submit answers,TRAN_NA,6,5,5.6,5,33.6,13
11,stl#User:selects empty for userResponses table->User:selects empty for userResponses table->selects empty for userResponses table:Displays list of tables along with empty/drop buttons next to them->Displays list of tables along with empty/drop buttons next to them:Responses deleted from table->Responses deleted from table:Homepage,clear submit answers,CTRL;EXTCLL;INT,5,4,6.5,4,32.5,7
12,stl#User:Homepage->User:Homepage,clear submit answers,CTRL;EXTCLL;INT,2,1,2,1,4,16
