id,element,useCase,type,component
1,Weight loser:invalid information about added weights,Create goal,boundary,InvitationLinkPage
2,Weight loser:The weight loser add one sponsor successfully message,Create goal,entity,WeightLoser
3,Weight loser:create goal link on homepage,Create goal,boundary,createGoalPage
4,Weight loser:error message in adding charity and sponsor,Create goal,boundary,InviteSponsorPage
5,Weight loser:create goal confirmation message,Create goal,boundary,createGoalPage
6,Weight loser:create goal page,Create goal,boundary,createGoalPage
7,Weight loser:add charity successfully message,Create goal,boundary,Charity
8,Invoke the inviite sponsor use case:The weight loser add one sponsor successfully message,Create goal,entity,WeightLoser
9,Invoke the inviite sponsor use case:error message in adding charity and sponsor,Create goal,boundary,InviteSponsorPage
10,add charity successfully message:Invoke the inviite sponsor use case,Create goal,boundary,InviteSponsorPage
11,The weight loser add one sponsor successfully message:create the goal,Create goal,boundary,createGoalPage
12,invoke add charity use case:add charity successfully message,Create goal,boundary,Charity
13,create the goal:create goal confirmation message,Create goal,boundary,createGoalPage
14,create goal link on homepage:redirect the user to creat goal page,Create goal,boundary,createGoalPage
15,create goal page:invoke add charity use case,Create goal,boundary,Charity
16,redirect the user to creat goal page:create goal page,Create goal,boundary,createGoalPage
17,create the goal:goal info,Create goal,entity,Goal
18,invoke add charity use case:error message in adding charity and sponsor,Create goal,boundary,InviteSponsorPage
19,redirect the user to creat goal page:goal info,Create goal,entity,Goal
20,invoke add charity use case:invalid information about added weights,Create goal,boundary,InvitationLinkPage
21,stl#Weight loser:invalid information about added weights,Create goal,Stimulus,undefined
22,stl#Weight loser:The weight loser add one sponsor successfully message,Create goal,Stimulus,undefined
23,stl#Weight loser:create goal link on homepage,Create goal,Stimulus,undefined
24,stl#Weight loser:error message in adding charity and sponsor,Create goal,Stimulus,undefined
25,stl#Weight loser:create goal confirmation message,Create goal,Stimulus,undefined
26,stl#Weight loser:create goal page,Create goal,Stimulus,undefined
27,stl#Weight loser:add charity successfully message,Create goal,Stimulus,undefined
28,The weight loser:confirmation message,Invite sponsor,control,DonationPage
29,The weight loser:invite sponsor page,Invite sponsor,boundary,InviteSponsorPage
30,The weight loser:error in access facebook information,Invite sponsor,boundary,facebook
31,The weight loser:error message for invlid email id,Invite sponsor,actor,ProfileManagementView
32,The weight loser:Invalid transaction message,Invite sponsor,entity,Transaction
33,The weight loser:invite sponsor link,Invite sponsor,boundary,InviteSponsorPage
34,The weight loser:detaul message sent ot the email,Invite sponsor,actor,ProfileManagementView
35,send emails:email prototocol,Invite sponsor,actor,ProfileManagementView
36,system generates the invitation links:facebook,Invite sponsor,boundary,facebook
37,show confirmation message:sponsors,Invite sponsor,boundary,Sponsor
38,send emails:Invalid transaction message,Invite sponsor,entity,Transaction
39,add sponsor to temparily selected sponsors list:update the transaction status "completed",Invite sponsor,entity,Transaction
40,add sponsor to temparily selected sponsors list:detaul message sent ot the email,Invite sponsor,actor,ProfileManagementView
41,add sponsor to temparily selected sponsors list:error message for invlid email id,Invite sponsor,actor,ProfileManagementView
42,add sponsor to temparily selected sponsors list:temporarily selected sponsors list,Invite sponsor,boundary,Sponsor
43,invite sponsor page:add sponsor to temparily selected sponsors list,Invite sponsor,boundary,InviteSponsorPage
44,show confirmation message:confirmation message,Invite sponsor,control,DonationPage
45,detaul message sent ot the email:system generates the invitation links,Invite sponsor,boundary,InvitationLinkPage
46,system generates the invitation links:error in access facebook information,Invite sponsor,boundary,facebook
47,invite sponsor link:redirect the user to invite sponsor page,Invite sponsor,boundary,InviteSponsorPage
48,redirect the user to invite sponsor page:invite sponsor page,Invite sponsor,boundary,InviteSponsorPage
49,send emails:show confirmation message,Invite sponsor,control,PasswordResetConfirmPage
50,send emails:transaction,Invite sponsor,entity,Transaction
51,system generates the invitation links:send emails,Invite sponsor,actor,ProfileManagementView
52,system generates the invitation links:temporarily selected sponsors list,Invite sponsor,boundary,Sponsor
53,update the transaction status "completed":system generates the invitation links,Invite sponsor,boundary,InvitationLinkPage
54,update the transaction status "completed":transaction,Invite sponsor,entity,Transaction
55,stl#The weight loser:confirmation message,Invite sponsor,Stimulus,undefined
56,stl#The weight loser:invite sponsor page,Invite sponsor,Stimulus,undefined
57,stl#The weight loser:error in access facebook information,Invite sponsor,Stimulus,undefined
58,stl#The weight loser:error message for invlid email id,Invite sponsor,Stimulus,undefined
59,stl#The weight loser:Invalid transaction message,Invite sponsor,Stimulus,undefined
60,stl#The weight loser:invite sponsor link,Invite sponsor,Stimulus,undefined
61,stl#The weight loser:detaul message sent ot the email,Invite sponsor,Stimulus,undefined
62,Weight loser:redirect to login page,Login,boundary,LoginPage
63,Weight loser:credential already exist,Login,boundary,createGoalPage
64,Weight loser:Home page,Login,boundary,GoalPage
65,Weight loser:exceed the time limite,Login,control,exceedthetimelimite
66,Weight loser:"URL expired" message,Login,control,PasswordResetConfirmPage
67,Weight loser:invlid pattern,Login,boundary,InvitationLinkPage
68,Weight loser:login page,Login,boundary,LoginPage
69,Weight loser:new password page,Login,control,PasswordResetConfirmPage
70,Weight loser:email doesn't exist,Login,boundary,emaildoesntexist
71,Weight loser:forgot password page,Login,control,PasswordResetConfirmPage
72,check url validity:"URL expired" message,Login,control,PasswordResetConfirmPage
73,redirect the user to homepage:Home page,Login,boundary,GoalPage
74,check email and password valid:invlid pattern,Login,boundary,InvitationLinkPage
75,check email and password valid:check time limit,Login,control,exceedthetimelimite
76,check email and password valid:user info,Login,control,User
77,login page:check email and password valid,Login,control,PasswordResetConfirmPage
78,check if password matches:update the user's password,Login,control,PasswordResetConfirmPage
79,check if password matches:user info,Login,control,User
80,check if password matches:redirect to login page,Login,boundary,LoginPage
81,new password page:check if password matches,Login,control,PasswordResetConfirmPage
82,check if supplied credentials exist:user info,Login,control,User
83,check if supplied credentials exist:redirect the user to homepage,Login,boundary,ResetFormPage
84,check if supplied credentials exist:credential already exist,Login,boundary,emaildoesntexist
85,check time limit:check if supplied credentials exist,Login,boundary,emaildoesntexist
86,check time limit:exceed the time limite,Login,control,exceedthetimelimite
87,check time limit:user info,Login,control,User
88,check time limit:goal,Login,entity,Goal
89,check url validity:email doesn't exist,Login,boundary,emaildoesntexist
90,check url validity:redirect to new password page,Login,control,PasswordResetConfirmPage
91,check url validity:user info,Login,control,User
92,forgot password page:check url validity,Login,boundary,Charity
93,generate a url with random token:forgot password page,Login,control,PasswordResetConfirmPage
94,redirect to forgot password page:generate a url with random token,Login,control,generateaurlwithrandomtoken
95,login page:redirect to forgot password page,Login,control,PasswordResetConfirmPage
96,redirect to new password page:new password page,Login,control,PasswordResetConfirmPage
97,update the user's password:redirect to login page,Login,boundary,LoginPage
98,update the user's password:user info,Login,control,User
99,stl#Weight loser:redirect to login page,Login,Stimulus,undefined
100,stl#Weight loser:credential already exist,Login,Stimulus,undefined
101,stl#Weight loser:Home page,Login,Stimulus,undefined
102,stl#Weight loser:exceed the time limite,Login,Stimulus,undefined
103,stl#Weight loser:"URL expired" message,Login,Stimulus,undefined
104,stl#Weight loser:invlid pattern,Login,Stimulus,undefined
105,stl#Weight loser:login page,Login,Stimulus,undefined
106,stl#Weight loser:new password page,Login,Stimulus,undefined
107,stl#Weight loser:email doesn't exist,Login,Stimulus,undefined
108,stl#Weight loser:forgot password page,Login,Stimulus,undefined
109,Weight loser:add new weight page,Login via facebook,entity,WeightLoser
110,Weight loser:display success message,Login via facebook,boundary,TransactionResultPage
111,Weight loser:login facebook button,Login via facebook,control,facebook
112,Weight loser:invalid error message,Login via facebook,boundary,InviteSponsorPage
113,get information from facebook:facebook,Login via facebook,control,facebook
114,add new weight page:check if response contains user inform,Login via facebook,boundary,InviteSponsorPage
115,get information from facebook:add new weight page,Login via facebook,entity,WeightLoser
116,add user into the system if not registered:redirect to homepage,Login via facebook,boundary,ResetFormPage
117,add user into the system if not registered:user,Login via facebook,control,User
118,check if response contains user inform:add user into the system if not registered,Login via facebook,control,System Boundary
119,check if response contains user inform:invalid error message,Login via facebook,boundary,InviteSponsorPage
