id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,display error message,control,1,1,Create Account,Create Account
2,check if account name is unique,control,1,1,Create Account,Create Account
3,check if passwords match,control,0,1,Create Account,Create Account
4,check password format,control,0,1,Create Account,Create Account
5,Create Account,control,3,1,Create Account,Create Account
6,user,actor,1,0,Create Account,Create Account
7,Specify Credentials,control,4,1,Create Account,Create Account
8,Account Creation Page,boundary,1,2,Create Account,Create Account
9,user,actor,1,0,Create Account Sequence,Create Account
10,Account Creation Page,boundary,1,2,Create Account Sequence,Create Account
11,Avatar Library,entity,0,0,Choose Avatar,Choose Avatar
12,Avatar Selection Page,boundary,0,0,Choose Avatar,Choose Avatar
13,display weapons bar,control,1,1,Choose Weapon Robustness,Choose Weapon
14,display greyed out weapon icon,control,1,1,Choose Weapon Robustness,Choose Weapon
15,display weapon icon,control,1,1,Choose Weapon Robustness,Choose Weapon
16,weapon available?,control,3,1,Choose Weapon Robustness,Choose Weapon
17,Weapons Bar,boundary,1,2,Choose Weapon Robustness,Choose Weapon
18,Weapon inventory,entity,0,1,Choose Weapon Robustness,Choose Weapon
19,display error message,control,1,1,Create Account,Create Account
20,check if account name is unique,control,1,1,Create Account,Create Account
21,check if passwords match,control,0,1,Create Account,Create Account
22,check password format,control,0,1,Create Account,Create Account
23,Create Account,control,3,1,Create Account,Create Account
24,user,actor,1,0,Create Account,Create Account
25,Specify Credentials,control,4,1,Create Account,Create Account
26,Account Creation Page,boundary,1,2,Create Account,Create Account
27,DIsplay error ,control,1,1,Login,Login
28,Check Password,control,2,1,Login,Login
29,Enter Username and Password,control,2,1,Login,Login
30,Login Page,boundary,1,2,Login,Login
31,User,actor,1,0,Login,Login
32,Check if in Hawaii or not,control,1,2,Render Intial Mode,Render Intial Mode
33,Not In Hawaii Mode,boundary,1,1,Render Intial Mode,Render Intial Mode
34,Get Location,control,0,2,Render Intial Mode,Render Intial Mode
35,Location,entity,1,0,Render Intial Mode,Render Intial Mode
36,In Hawaii Mode,boundary,1,1,Render Intial Mode,Render Intial Mode
37,User,actor,2,0,Render Intial Mode,Render Intial Mode
38,Render Avatar,control,0,1,Choose Avatar,Choose Avatar
39,Select Avatar,control,2,1,Choose Avatar,Choose Avatar
40,Avatars,entity,0,1,Choose Avatar,Choose Avatar
41,Avatar's Page,boundary,1,1,Choose Avatar,Choose Avatar
42,User,actor,1,0,Choose Avatar,Choose Avatar
43,Update Database,control,0,1,Get Location,Play Ar mode
44,Fetch Lat Lon,control,2,1,Get Location,Play Ar mode
45,Location,entity,0,1,Get Location,Play Ar mode
46,GPS,boundary,1,1,Get Location,Play Ar mode
47,User,actor,1,0,Get Location,Play Ar mode
48,Not in Hawaii Mode,boundary,0,2,Render Mode,Determine AR/ VR mode
49,AR mode,boundary,0,2,Render Mode,Determine AR/ VR mode
50,Render Mode,control,0,1,Render Mode,Determine AR/ VR mode
51,Check If In hawaii,control,4,0,Render Mode,Determine AR/ VR mode
52,Location,entity,0,1,Render Mode,Determine AR/ VR mode
53,User,actor,2,0,Render Mode,Determine AR/ VR mode
54,Check if the location is inside a geofence,boundary,1,2,GeoFence,Navigate in AR Mode
55,Get Location,control,2,1,GeoFence,Navigate in AR Mode
56,Map,boundary,2,1,GeoFence,Navigate in AR Mode
57,Places,entity,0,1,GeoFence,Navigate in AR Mode
58,Location,entity,0,1,GeoFence,Navigate in AR Mode
59,User,actor,1,0,GeoFence,Navigate in AR Mode
60,Check Location,control,2,0,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book
61,Render the e-cook link,control,0,3,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book
62,Location,entity,0,1,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book
63,E-book,entity,1,0,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book
64,Doug's E-book,boundary,1,1,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book
65,User,actor,1,0,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book
66,Render Background of the location,control,0,4,Render Battle Scene,Render Battle Scene
67,Render Army around 360,control,3,0,Render Battle Scene,Render Battle Scene
68,Check Location
,control,2,0,Render Battle Scene,Render Battle Scene
69,Army,entity,0,1,Render Battle Scene,Render Battle Scene
70,Location,entity,0,1,Render Battle Scene,Render Battle Scene
71,Battle Scene,boundary,1,1,Render Battle Scene,Render Battle Scene
72,User,actor,1,0,Render Battle Scene,Render Battle Scene
73,Check Weapon Inventory,control,0,1,Choose Weapon,Choose Weapon
74,Select Weapon available,control,2,1,Choose Weapon,Choose Weapon
75,Weapons Bar,boundary,1,1,Choose Weapon,Choose Weapon
76,Weapons,entity,0,1,Choose Weapon,Choose Weapon
77,User,actor,1,0,Choose Weapon,Choose Weapon
78,Show in-App purchases,control,0,1,Use Weapon,Use Weapon
79,Reduce Weapon Count,control,0,1,Use Weapon,Use Weapon
80,Flick Weapon,control,3,1,Use Weapon,Use Weapon
81,Battle Scene,boundary,1,1,Use Weapon,Use Weapon
82,Weapon,entity,0,1,Use Weapon,Use Weapon
83,User,actor,1,0,Use Weapon,Use Weapon
84,Move Army Closer,control,1,1,Fight Army,Fight Battle
85,Update Minimap,control,0,2,Fight Army,Fight Battle
86,Calculate Score,control,1,1,Fight Army,Fight Battle
87,Destroy armyMan,control,1,1,Fight Army,Fight Battle
88,Minimap,boundary,1,1,Fight Army,Fight Battle
89,Check if weapon hit the army,control,3,1,Fight Army,Fight Battle
90,Achievements,entity,0,1,Fight Army,Fight Battle
91,Battle,entity,0,1,Fight Army,Fight Battle
92,Battle Scene,boundary,1,1,Fight Army,Fight Battle
93,User,actor,2,0,Fight Army,Fight Battle
94,Update the Database with all values,control,3,1,Update Database,Update Database
95,Battle,entity,0,1,Update Database,Update Database
96,User Master,entity,0,1,Update Database,Update Database
97,Achivements,entity,0,1,Update Database,Update Database
98,Map view,boundary,1,1,Update Database,Update Database
