id,path,functional,transactional,path_length, boundary_num, control_num, entity_num, actor_num, utw, diagram,useCase
1,user->Account Creation Page->Specify Credentials->check if passwords match,FUNC_NA,TRAN_NA,4,1,2,0,1,0,Create Account,Create Account
2,user->Account Creation Page->Specify Credentials->check password format,FUNC_NA,TRAN_NA,4,1,2,0,1,0,Create Account,Create Account
3,Account Creation Page->Account Creation Page->user->Account Creation Page,FUNC_NA,TRAN_NA,4,3,0,0,1,2,Create Account Sequence,Create Account
4,user->Account Creation Page->Specify Credentials->check if passwords match,FUNC_NA,TRAN_NA,4,1,2,0,1,0,Create Account,Create Account
5,user->Account Creation Page->Specify Credentials->check password format,FUNC_NA,TRAN_NA,4,1,2,0,1,0,Create Account,Create Account
6,User->Not In Hawaii Mode->Check if in Hawaii or not->Get Location,FUNC_NA,TRAN_NA,4,1,2,0,1,1,Render Intial Mode,Render Intial Mode
7,User->In Hawaii Mode->Check if in Hawaii or not->Get Location,FUNC_NA,TRAN_NA,4,1,2,0,1,1,Render Intial Mode,Render Intial Mode
8,User->Avatar's Page->Select Avatar->Avatars,EI,CTRL|DM|EI,4,1,1,1,1,0,Choose Avatar,Choose Avatar
9,User->Avatar's Page->Select Avatar->Render Avatar,FUNC_NA,TRAN_NA,4,1,2,0,1,0,Choose Avatar,Choose Avatar
10,User->GPS->Fetch Lat Lon->Update Database,FUNC_NA,TRAN_NA,4,1,2,0,1,0,Get Location,Play Ar mode
11,User->GPS->Fetch Lat Lon->Location,EI,CTRL|DM|EI,4,1,1,1,1,0,Get Location,Play Ar mode
12,User->Map->Check if the location is inside a geofence,FUNC_NA,TRAN_NA,3,2,0,0,1,1,GeoFence,Navigate in AR Mode
13,User->Map->Get Location->Location,EI,CTRL|DM|EI,4,1,1,1,1,0,GeoFence,Navigate in AR Mode
14,User->Map->Get Location->Check if the location is inside a geofence,EQ,CTRL|INT,4,2,1,0,1,1,GeoFence,Navigate in AR Mode
15,User->Doug's E-book->Render the e-cook link,FUNC_NA,TRAN_NA,3,1,1,0,1,0,Link the tourist spot to Doug's E-book,Link the tourist spot to Doug's E-book
16,User->Battle Scene->Render Background of the location,FUNC_NA,TRAN_NA,3,1,1,0,1,1,Render Battle Scene,Render Battle Scene
17,User->Weapons Bar->Select Weapon available->Weapons,EI,CTRL|DM|EI,4,1,1,1,1,0,Choose Weapon,Choose Weapon
18,User->Weapons Bar->Select Weapon available->Check Weapon Inventory,FUNC_NA,TRAN_NA,4,1,2,0,1,0,Choose Weapon,Choose Weapon
19,User->Battle Scene->Flick Weapon->Weapon,EI,CTRL|DM|EI,4,1,1,1,1,0,Use Weapon,Use Weapon
20,User->Battle Scene->Flick Weapon->Show in-App purchases,FUNC_NA,TRAN_NA,4,1,2,0,1,0,Use Weapon,Use Weapon
21,User->Battle Scene->Flick Weapon->Reduce Weapon Count,FUNC_NA,TRAN_NA,4,1,2,0,1,0,Use Weapon,Use Weapon
22,User->Battle Scene->Check if weapon hit the army->Update Minimap,FUNC_NA,TRAN_NA,4,1,2,0,1,0,Fight Army,Fight Battle
23,User->Battle Scene->Check if weapon hit the army->Destroy armyMan->Calculate Score->Achievements,EI,CTRL|DM|EI,6,1,3,1,1,1,Fight Army,Fight Battle
24,User->Battle Scene->Check if weapon hit the army->Move Army Closer->Battle,EI,CTRL|DM|EI,5,1,2,1,1,0,Fight Army,Fight Battle
25,User->Minimap->Update Minimap,FUNC_NA,TRAN_NA,3,1,1,0,1,0,Fight Army,Fight Battle
26,User->Map view->Update the Database with all values->Achivements,EI,CTRL|DM|EI,4,1,1,1,1,0,Update Database,Update Database
27,User->Map view->Update the Database with all values->User Master,EI,CTRL|DM|EI,4,1,1,1,1,0,Update Database,Update Database
28,User->Map view->Update the Database with all values->Battle,EI,CTRL|DM|EI,4,1,1,1,1,0,Update Database,Update Database
29,Score->Algortihm to scale->Update Rank,FUNC_NA,TRAN_NA,3,0,2,1,0,0,Algorithm,Algorithm
30,Score->Algortihm to scale->Show Rank,FUNC_NA,TRAN_NA,3,1,1,1,0,0,Algorithm,Algorithm
31,User->Battle Scene->Increase Opponenent Weapons,FUNC_NA,TRAN_NA,3,1,1,0,1,0,Increase Difficulty accordingly,Increase Difficulty accordingly
32,User->Battle Scene->Increase Number of Army->Increase Closing-in speed->Increase Opponenent Weapons,FUNC_NA,TRAN_NA,5,1,3,0,1,1,Increase Difficulty accordingly,Increase Difficulty accordingly
33,User->Battle Scene->Increase Number of Army->Battle,EI,CTRL|DM|EI,4,1,1,1,1,0,Increase Difficulty accordingly,Increase Difficulty accordingly
34,User->Battle Scene->Increase Number of Army->Achievements,EI,CTRL|DM|EI,4,1,1,1,1,0,Increase Difficulty accordingly,Increase Difficulty accordingly
35,User->Battle Scene->Increase Number of Army->User Master,EI,CTRL|DM|EI,4,1,1,1,1,0,Increase Difficulty accordingly,Increase Difficulty accordingly
36,User->Battle Scene->Increase Closing-in speed->Increase Opponenent Weapons,FUNC_NA,TRAN_NA,4,1,2,0,1,1,Increase Difficulty accordingly,Increase Difficulty accordingly
37,User->ScoreCards->Retrieve Score->Battle,FUNC_NA,TRAN_NA,4,1,0,2,1,0,Get Score,Get Score
38,User->ScoreCards->Retrieve Score->USer Master,FUNC_NA,TRAN_NA,4,1,0,2,1,0,Get Score,Get Score
39,User->Ar Mode->if in Hawaii->Check Location->If not in Hawaii,FUNC_NA,TRAN_NA,5,1,3,0,1,1,Render Battle scene,Render Battle scene
40,User->VR mode->If not in Hawaii,FUNC_NA,TRAN_NA,3,1,1,0,1,0,Render Battle scene,Render Battle scene
41,Location->Check Location->If not in Hawaii,FUNC_NA,TRAN_NA,3,0,2,1,0,0,Render Battle scene,Render Battle scene
42,Army men ->Get army information->Enemy,FUNC_NA,TRAN_NA,3,1,1,1,0,0,Render Army,Render Army
43,User->Minimap ->Update Minimap,FUNC_NA,TRAN_NA,3,1,1,0,1,0,Render Minimap,Render Minimap
44,User->Minimap ->Check if the enemy is hit with the balll,FUNC_NA,TRAN_NA,3,1,1,0,1,0,Render Minimap,Render Minimap
45,User->Single Weapon ->Flick Weapon->Decrease inventory count->Weapons Inventory,EI,CTRL|DM|EI,5,1,2,1,1,1,Use Weapon,Use Weapon
46,User->Single Weapon ->Flick Weapon->Check if weapon availble->Weapons Inventory,EI,CTRL|DM|EI,5,1,2,1,1,1,Use Weapon,Use Weapon
47,User->Army Men->Increase Speed->Algorithm->Get level->User Account,EI,CTRL|DM|EI,6,1,3,1,1,1,Increase difficulty ,Increase difficulty 
48,User->Army Men->Increase Speed->Algorithm->Get Number of tikimen killed in that round,FUNC_NA,TRAN_NA,5,1,3,0,1,1,Increase difficulty ,Increase difficulty 
49,User->Army Men->Increase Speed->Algorithm->Increase Number of spawn,FUNC_NA,TRAN_NA,5,1,3,0,1,1,Increase difficulty ,Increase difficulty 
50,User->Army Men->Increase Speed->Algorithm->Time Elapsed,FUNC_NA,TRAN_NA,5,1,3,0,1,1,Increase difficulty ,Increase difficulty 
51,User->Army Men->Increase Number of spawn,FUNC_NA,TRAN_NA,3,1,1,0,1,0,Increase difficulty ,Increase difficulty 
52,User->Weapons Bar->Display weapons->Choose a main weapon,FUNC_NA,TRAN_NA,4,1,2,0,1,1,Change Weapon,Change Weapon
53,User->Single weapon->Choose a main weapon,FUNC_NA,TRAN_NA,3,1,1,0,1,0,Change Weapon,Change Weapon
54,Check if weapon availble->Display weapons->Choose a main weapon,FUNC_NA,TRAN_NA,3,0,3,0,0,0,Change Weapon,Change Weapon
55,User->Display score at end of battle->Calculate Score->Update Database->User Account,EQ,CTRL|INT,5,2,2,0,1,2,Calculate score ,Calculate score 
56,Count the number of enemies killed->Calculate Score->Update Database->User Account,FUNC_NA,TRAN_NA,4,1,3,0,0,0,Calculate score ,Calculate score 
