NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, NT, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum
1,Create Account,10,2,2,6,0,10,0,0,0,0,0,3,0,0,0,0,0,0,1,4,4,3
2,Choose Avatar,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Choose Weapon,7,0,1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1.1666666666666667,0,0,0
4,Create Account,8,1,1,6,0,8,0,0,0,0,0,2,0,0,0,0,0,0,1,4,4,2
5,Login,5,1,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,Render Intial Mode,6,1,2,2,1,6,0,0,0,0,0,2,0,0,0,0,0,0,1,4,4,2
7,Choose Avatar,4,1,1,2,1,5,0,1,1,0,0,1,1,1,0,0,0,0,0.8,4,3.2,2
8,Play Ar mode,4,1,1,2,1,5,0,1,1,0,0,1,1,1,0,0,0,0,0.8,4,3.2,2
9,Determine AR/ VR mode,6,1,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,Navigate in AR Mode,6,1,2,1,2,6,1,1,2,0,0,1,2,1,0,0,0,0,1,3.6666666666666665,3.6666666666666665,3
11,Link the tourist spot to Doug's E-book,5,1,1,2,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0.8333333333333334,3,2.5,1
12,Render Battle Scene,7,1,1,3,2,7,0,0,0,0,0,1,0,0,0,0,0,0,1,3,3,1
13,Choose Weapon,4,1,1,2,1,5,0,1,1,0,0,1,1,1,0,0,0,0,0.8,4,3.2,2
14,Use Weapon,5,1,1,3,1,6,0,1,1,0,0,2,1,1,0,0,0,0,0.8333333333333334,4,3.3333333333333335,3
15,Fight Battle,10,1,2,5,2,10,0,2,2,0,0,2,2,2,0,0,0,0,1,4.5,4.5,4
16,Update Database,5,1,1,1,3,6,0,3,3,0,0,0,3,3,0,0,0,0,0.8333333333333334,4,3.3333333333333335,3
17,Algorithm,4,1,1,2,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0.8,3,2.4000000000000004,2
18,Increase Difficulty accordingly,9,1,1,3,3,8,0,3,3,0,0,3,3,3,0,0,0,0,1.125,4,4.5,6
19,Get Score,4,1,1,0,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0.8,4,3.2,2
20,Render Battle scene,7,1,2,3,1,7,0,0,0,0,0,3,0,0,0,0,0,0,1,3.6666666666666665,3.6666666666666665,3
21,Render Army,3,1,1,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0.75,3,2.25,1
22,Render Minimap,3,1,1,2,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0.75,3,2.25,2
23,Use Weapon,6,1,1,3,1,6,0,2,2,0,0,0,2,2,0,0,0,0,1,5,5,2
24,Increase difficulty ,11,1,1,7,1,10,0,1,1,0,0,4,1,1,0,0,0,0,1.1,4.8,5.28,5
25,Update Screen,5,1,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26,Change Weapon,7,1,2,3,1,7,0,0,0,0,0,3,0,0,0,0,0,0,1,3.3333333333333335,3.3333333333333335,3
27,Calculate score ,5,1,2,3,0,6,1,0,1,0,0,1,1,0,0,0,0,0,0.8333333333333334,4.5,3.75,2
28,Navigate in VR Mode,3,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0
