id, function, functional, DET, FTR, boundaries, controls, entities, typeStr
1,User:grayed out thread like button,EQ,0,1,1,0,0,boundary
2,User:post is liked message,EQ,0,1,1,0,0,boundary
3,User:Invalid search input,EQ,0,1,1,0,0,boundary
4,User:thread is liked message-->thread is liked message:validate search input-->validate search input:calculate points of the owner-->calculate points of the owner:post is liked message,EQ,0,4,2,1,1,entity->boundary->control->boundary
5,User:thread is liked message-->thread is liked message:validate search input-->validate search input:calculate points of the owner-->calculate points of the owner:thread is liked message-->thread is liked message:validate search input,EQ,0,5,2,1,2,entity->boundary->control->entity->boundary
6,User:thread is liked message-->thread is liked message:validate search input-->validate search input:calculate points of the owner-->calculate points of the owner:point,EQ,0,4,1,2,1,entity->boundary->control->control
7,User:thread is liked message-->thread is liked message:validate search input-->validate search input:Invalid search input,EO,0,3,2,0,1,entity->boundary->boundary
8,User:grayed out post like button,EQ,0,1,1,0,0,boundary
9,User:like post button-->like post button:save the like status-->save the like status:update like number of thread-->update like number of thread:thread,EI,0,4,2,0,2,boundary->boundary->entity->entity
10,User:like post button-->like post button:save the like status-->save the like status:update like number of thread-->update like number of thread:grayed out thread like button,EQ,0,4,3,0,1,boundary->boundary->entity->boundary
11,User:like post button-->like post button:save the like status-->save the like status:update like number of thread-->update like number of thread:calculate points of the owner-->calculate points of the owner:post is liked message,EQ,0,5,3,1,1,boundary->boundary->entity->control->boundary
12,User:like post button-->like post button:save the like status-->save the like status:update like number of thread-->update like number of thread:calculate points of the owner-->calculate points of the owner:thread is liked message-->thread is liked message:validate search input-->validate search input:calculate points of the owner-->calculate points of the owner:thread is liked message,EQ,0,8,3,2,3,boundary->boundary->entity->control->entity->boundary->control->entity
13,User:like post button-->like post button:save the like status-->save the like status:update like number of thread-->update like number of thread:calculate points of the owner-->calculate points of the owner:thread is liked message-->thread is liked message:validate search input-->validate search input:calculate points of the owner-->calculate points of the owner:post is liked message,EQ,0,8,4,2,2,boundary->boundary->entity->control->entity->boundary->control->boundary
14,User:like post button-->like post button:save the like status-->save the like status:update like number of thread-->update like number of thread:calculate points of the owner-->calculate points of the owner:thread is liked message-->thread is liked message:validate search input-->validate search input:calculate points of the owner-->calculate points of the owner:point,EQ,0,8,3,3,2,boundary->boundary->entity->control->entity->boundary->control->control
