id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Charity,0,0,227,0,0,0
2,DonationPage,0,0,0,0,0,0
3,Financial Officer,0,0,0,0,0,1
4,Goal,0,0,227,0,0,0
5,GoalController,0,0,0,0,0,0
6,GoalPage,0,0,0,0,0,0
7,InvitationLinkPage,0,0,0,0,0,0
8,InviteSponsorPage,0,0,0,0,0,0
9,Link,0,0,0,0,0,0
10,LoginPage,0,0,0,0,0,0
11,PasswordResetConfirmPage,0,0,0,0,0,0
12,PledgeMoneyView,0,0,0,0,0,0
13,ProfileManagementView,0,0,0,0,0,0
14,RegistrationPage,0,0,0,0,0,0
15,ResetFormPage,0,0,0,0,0,0
16,Sponsor,0,0,0,0,0,0
17,TrackGoal,0,0,0,0,0,0
18,Transaction,0,0,0,0,0,0
19,TransactionDetailView,0,0,0,0,0,0
20,TransactionResultPage,0,0,0,0,0,0
21,TransactionResultView,0,0,0,0,0,0
22,TransactionReviewPage,0,0,0,0,0,0
23,User,2,2,4,0,2,0
24,WeightLoser,0,0,0,0,0,1
25,createGoalPage,0,0,0,0,0,0
26,$help://actor.htm,0,0,0,0,0,0
27,$help://use_case_model_pattern.htm,0,0,0,0,0,0
28,$help://usecasediagram.htm,0,0,0,0,0,0
29,System Boundary,0,0,0,0,0,0
30,facebook,0,0,0,0,0,0
31,exceedthetimelimite,0,0,0,0,0,0
32,emaildoesntexist,0,0,0,0,0,0
