id,attribute,type,element
1,Classes Attending,EAJava_int,Check In Form
2,Phone number,EAJava_int,Check In Form
3,Date attened,EAJava_int,Check in Records
4,Phone Number,EAJava_int,Check in Records
5,Type of class attended,EAJava_int,Check in Records
6,ClientSatisfactionRating,EAJava_int,Feedback Form
7,Interview Outcome,EAJava_int,Feedback Form
8,PhoneNumber,EAJava_int,Feedback Form
9,Age,EAJava_int,Registration Form
10,Contact Information,EAJava_String,Registration Form
11,Current/Past Jobs,EAJava_String,Registration Form
12,Dependents Information,EAJava_String,Registration Form
13,home Information,EAJava_String,Registration Form
14,Jog Interests,EAJava_String,Registration Form
15,Name,EAJava_String,Registration Form
16,Sex,EAJava_String,Registration Form
17,Demographic Information,EAJava_int,Reports
18,Number of clients attended in past 3 weeks,EAJava_int,Reports
19,Age,EAJava_int,User Profile
20,Client Satisfaction Rating,EAJava_int,User Profile
21,Contact Information,EAJava_String,User Profile
22,current/Past Jobs,EAJava_int,User Profile
23,Dependents Information,EAJava_String,User Profile
24,Income Information,EAJava_String,User Profile
25,Interview Outcome,EAJava_int,User Profile
26,Job Interests,EAJava_int,User Profile
27,Name,EAJava_String,User Profile
