id,element,useCase,type,component
1,Actor:Project detail,Change Project,control,Queryprojectdetail
2,Actor:Selecting settings button,Change Project,boundary,Selectingsettingsbutton
3,Actor:Projects list screen,Change Project,control,Queryprojectdetail
4,Actor:dropdown settings menu,Change Project,boundary,Selectingsettingsbutton
5,Display dropdown settings menu:dropdown settings menu,Change Project,boundary,Selectingsettingsbutton
6,Selecting settings button:Display dropdown settings menu,Change Project,boundary,Selectingsettingsbutton
7,Query project detail:Project,Change Project,control,Queryprojectdetail
8,query projects:Project,Change Project,control,Queryprojectdetail
9,Query project detail:Project detail,Change Project,control,Queryprojectdetail
10,Projects list screen:Query project detail,Change Project,control,Queryprojectdetail
11,query projects:Projects list screen,Change Project,control,Queryprojectdetail
12,dropdown settings menu:query projects,Change Project,control,Queryprojectdetail
13,stl#Actor:Project detail,Change Project,Stimulus,undefined
14,stl#Actor:Selecting settings button,Change Project,Stimulus,undefined
15,stl#Actor:Projects list screen,Change Project,Stimulus,undefined
16,stl#Actor:dropdown settings menu,Change Project,Stimulus,undefined
