id,element,useCase,type,component
1,Administrator:Add new button,Upload document,control,Usermanagementbutton
2,Administrator:case information page,Upload document,control,Usermanagementbutton
3,Administrator:unauthorized information message,Upload document,boundary,unauthorizedrequest
4,Administrator:document upload page,Upload document,boundary,download
5,Administrator:invalid description message,Upload document,boundary,activationsuccessmessage
6,Case Manager:Add new button,Upload document,control,Usermanagementbutton
7,Case Manager:invalid description message,Upload document,boundary,activationsuccessmessage
8,Case Manager:document upload page,Upload document,boundary,download
9,Case Manager:case information page,Upload document,control,Usermanagementbutton
10,Case Manager:unauthorized information message,Upload document,boundary,unauthorizedrequest
11,Add new button:validate role of user,Upload document,entity,role
12,Validate the information of description:invalid description message,Upload document,boundary,activationsuccessmessage
13,Validate the information of description:save uploaded document,Upload document,boundary,download
14,document upload page:Validate the information of description,Upload document,control,blankdescriptionerror
15,update case information page:case information page,Upload document,control,Usermanagementbutton
16,save uploaded document:document,Upload document,control,Usermanagementbutton
17,validate role of user:document upload page,Upload document,boundary,download
18,validate role of user:role,Upload document,entity,role
19,save uploaded document:update case information page,Upload document,control,Usermanagementbutton
20,validate role of user:unauthorized information message,Upload document,boundary,unauthorizedrequest
21,stl#Administrator:Add new button,Upload document,Stimulus,undefined
22,stl#Administrator:case information page,Upload document,Stimulus,undefined
23,stl#Administrator:unauthorized information message,Upload document,Stimulus,undefined
24,stl#Administrator:document upload page,Upload document,Stimulus,undefined
25,stl#Administrator:invalid description message,Upload document,Stimulus,undefined
26,stl#Case Manager:Add new button,Upload document,Stimulus,undefined
27,stl#Case Manager:invalid description message,Upload document,Stimulus,undefined
28,stl#Case Manager:document upload page,Upload document,Stimulus,undefined
29,stl#Case Manager:case information page,Upload document,Stimulus,undefined
30,stl#Case Manager:unauthorized information message,Upload document,Stimulus,undefined
