id,attribute,type,element
1,account_id,EAJava_int,Account
2,description,EAJava_String,Account
3,name,EAJava_String,Account
4,description,EAJava_String,Activity_code
5,id,EAJava_int,Activity_code
6,name,EAJava_String,Activity_code
7,undefined,EAID_D643561A_2539_4dd3_BE84_3DB9D053855D,Activity_code
8,ID,EAJava_int,Admin
9,ID,EAJava_int,Case Manager
10,undefined,EAID_575447BA_5219_49de_A1C1_F1F76E065C0A,Case Manager
11,undefined,EAID_A42289D1_66FF_4919_98C9_69FDF48724A9,Case_account
12,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Case_account
13,address_id,EAJava_int,Case_addresses
14,address1,EAJava_String,Case_addresses
15,address2,EAJava_String,Case_addresses
16,city,EAJava_String,Case_addresses
17,current,EAJava_byte,Case_addresses
18,state,EAJava_String,Case_addresses
19,zip,EAJava_String,Case_addresses
20,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Case_addresses
21,date,EAJava_Date,Case_answers
22,value,EAJava_String,Case_answers
23,undefined,EAID_5F50BCD7_8BB4_4ff3_B038_A4929568ACAE,Case_answers
24,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Case_answers
25,address,EAJava_String,Case_contacts
26,contact_id,EAJava_int,Case_contacts
27,current,EAJava_byte,Case_contacts
28,email,EAJava_String,Case_contacts
29,first_name,EAJava_String,Case_contacts
30,last_name,EAJava_String,Case_contacts
31,phone,EAJava_String,Case_contacts
32,relationship,EAJava_String,Case_contacts
33,type,EAJava_String,Case_contacts
34,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Case_contacts
35,address,EAJava_String,Case_education_history
36,current,EAJava_byte,Case_education_history
37,education_id,EAJava_int,Case_education_history
38,end_time,EAJava_Date,Case_education_history
39,level_id,EAJava_int,Case_education_history
40,note,EAJava_String,Case_education_history
41,school_name,EAJava_String,Case_education_history
42,start_time,EAJava_Date,Case_education_history
43,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Case_education_history
44,current,EAJava_byte,Case_email
45,email,EAJava_String,Case_email
46,email_id,EAJava_int,Case_email
47,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Case_email
48,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Case_ethnicities
49,current,EAJava_byte,Case_work_history
50,end_time,EAJava_Date,Case_work_history
51,history_id,EAJava_int,Case_work_history
52,industry,EAJava_String,Case_work_history
53,name,EAJava_String,Case_work_history
54,note,EAJava_String,Case_work_history
55,start_time,EAJava_Date,Case_work_history
56,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Case_work_history
57,birthday,EAJava_Date,Cases
58,case_id,EAJava_int,Cases
59,first_name,EAJava_String,Cases
60,gender,EAJava_byte,Cases
61,ILP,EAJava_int,Cases
62,last_name,EAJava_String,Cases
63,manageruser_id,EAJava_int,Cases
64,ssn,EAJava_String,Cases
65,status,EAJava_byte,Cases
66,webpage,EAJava_String,Cases
67,activity_code,EAJava_int,Cases_Activities
68,activity_id,EAJava_int,Cases_Activities
69,description,EAJava_String,Cases_Activities
70,end_time,EAJava_Timestamp,Cases_Activities
71,start_time,EAJava_Timestamp,Cases_Activities
72,subject,EAJava_String,Cases_Activities
73,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Cases_Activities
74,doc_Id,EAJava_int,Document
75,title,EAJava_String,Document
76,type_id,EAJava_int,Document
77,undefined,EAID_B363B63D_7BBA_4cf7_9BC7_2514F7795A47,Document
78,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Document
79,date,EAJava_Date,Document_version
80,description,EAJava_String,Document_version
81,extension,EAJava_String,Document_version
82,file_name,EAJava_String,Document_version
83,last_modified,EAJava_Date,Document_version
84,user_id,EAJava_int,Document_version
85,version_id,EAJava_int,Document_version
86,undefined,EAID_DFA18B8A_07BD_4ae3_84FD_77C060C9D219,Document_version
87,attribute,EAJava_int,Documentation Type
88,id,EAJava_int,Documentation Type
89,name,EAJava_String,Documentation Type
90,id,EAJava_int,Education Level
91,name,EAJava_String,Education Level
92,undefined,EAID_8D24D656_599A_4294_A509_CD5F604E3EA6,Education Level
93,author,EAJava_String,Email Template
94,closing,EAJava_String,Email Template
95,content,EAJava_String,Email Template
96,description,EAJava_String,Email Template
97,greeting,EAJava_String,Email Template
98,heading,EAJava_String,Email Template
99,id,EAJava_int,Email Template
100,Signature,EAJava_String,Email Template
101,subject,EAJava_String,Email Template
102,template_name,EAJava_String,Email Template
103,type,EAJava_String,Email Template
104,ethnicity_id,EAJava_int,Ethnicities
105,name,EAJava_String,Ethnicities
106,undefined,EAID_453505AD_96FB_449f_B4CA_5AF9AEA9D84A,Ethnicities
107,ID,EAJava_int,General_User
108,id,EAJava_int,Groups
109,name,EAJava_String,Groups
110,Query,EAJava_String,Groups
111,case_id,EAJava_int,Limited_User
112,ID,EAJava_int,Limited_User
113,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Limited_User
114,start_date,EAJava_Timestamp,Manager
115,undefined,EAID_62FBA540_17D7_424a_AA06_53207725BAFB,Manager
116,password,EAJava_String,Password
117,updated,EAJava_Timestamp,Password
118,undefined,EAID_575447BA_5219_49de_A1C1_F1F76E065C0A,Password
119,order,EAJava_int,Questions
120,question_id,EAJava_int,Questions
121,title,EAJava_String,Questions
