id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,License lace # database associated with Bad Drivers,entity,1,0,Query bad driver reporting DB,Query bad driver reporting DB,
2,Bad Driver Database,entity,0,1,Query bad driver reporting DB,Query bad driver reporting DB,
3,Bad Dirver Report,entity,2,1,Query bad driver reporting DB,Query bad driver reporting DB,
4,Display Report,control,1,1,Query bad driver reporting DB,Query bad driver reporting DB,
5,Select Report,control,1,1,Query bad driver reporting DB,Query bad driver reporting DB,
6,Query for report by license plate #,control,1,2,Query bad driver reporting DB,Query bad driver reporting DB,
7,List of reports screen,boundary,1,2,Query bad driver reporting DB,Query bad driver reporting DB,
8,Review Report,boundary,0,2,Query bad driver reporting DB,Query bad driver reporting DB,
9,Enter License Plate# Screen,boundary,1,1,Query bad driver reporting DB,Query bad driver reporting DB,
10,Insurance Agent,actor,3,0,Query bad driver reporting DB,Query bad driver reporting DB,
