id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Invalid input schedule info,boundary,0,2,Update schedule,Update schedule,
2,save updated schedule,control,1,1,Update schedule,Update schedule,
3,validate updated schedule info,control,2,1,Update schedule,Update schedule,
4,query schedule info,control,2,1,Update schedule,Update schedule,
5,schedule,entity,0,2,Update schedule,Update schedule,
6,schedule info page,boundary,1,2,Update schedule,Update schedule,
7,display update schedule page,control,1,1,Update schedule,Update schedule,
8,schedule update page,boundary,1,2,Update schedule,Update schedule,
9,load schedule button,boundary,1,1,Update schedule,Update schedule,
10,Trainer,actor,4,0,Update schedule,Update schedule,
