id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,$help://use_case_model_pattern.htm,0,0,0,0,0,0
2,$help://actor.htm,0,0,0,0,0,0
3,$help://usecasediagram.htm,0,0,0,0,0,0
4,System Boundary,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,0,0,0,0,0
6,Email Subscription Preference,0,0,0,0,0,0
7,Favorite Job,0,0,0,0,0,0
8,User social media information,0,0,0,0,0,0
9,email message requesting referral,0,0,0,0,0,0
10,facebook data,0,0,0,0,0,0
11,google date,0,0,0,0,0,0
12,indeed.com job list,0,0,0,0,0,0
13,linkin data,0,0,0,0,0,0
14,savedSearch,0,0,0,0,0,0
15,search result,0,0,0,0,0,0
16,ProfileEditPage,0,0,0,0,0,0
