id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,save the approval status of registration,control,1,1,Business Owner Registration,Business Owner Registration,
2,Registration Detail,boundary,1,2,Business Owner Registration,Business Owner Registration,
3,display registratiion requests,control,2,1,Business Owner Registration,Business Owner Registration,
4,Admin,actor,3,0,Business Owner Registration,Business Owner Registration,
5,registration button,boundary,2,1,Business Owner Registration,Business Owner Registration,
6,Query registration detail,control,2,1,Business Owner Registration,Business Owner Registration,
7,list of registrations,boundary,1,2,Business Owner Registration,Business Owner Registration,
8,registration information,entity,0,4,Business Owner Registration,Business Owner Registration,
9,save information for verification,control,1,1,Business Owner Registration,Business Owner Registration,
10,registration page,boundary,1,3,Business Owner Registration,Business Owner Registration,
11,display registration page,control,1,1,Business Owner Registration,Business Owner Registration,
12,Register button,boundary,1,1,Business Owner Registration,Business Owner Registration,
13,User,actor,2,0,Business Owner Registration,Business Owner Registration,
