id,attribute,type,element
1,model,EAJava_Model,BaseController
2,request,EAJava_HttpServletRequest,BaseController
3,response,EAJava_HttpServletResponse,BaseController
4,doctorID,EAJava_string,Doctor
5,firstName,EAJava_string,Doctor
6,licenseNum,EAJava_string,Doctor
7,description,EAJava_string,Doctor
8,speciality,EAJava_Specialists,Doctor
9,undefined,EAID_A780835A_45AE_4cef_8BD1_F4D4787752F7,Doctor
10,doctors,EAJava_Doctor__,DoctorController
11,undefined,EAID_BD312B66_9EBB_4d5c_A2F8_5F0D698F2A66,DoctorController
12,maintainerID,EAJava_string,Maintainer
13,paymentID,EAJava_String,Payment
14,payerID,EAJava_String,Payment
15,billingAddress,EAJava_String,Payment
16,nameOnCard,EAJava_String,Payment
17,cardType,EAJava_String,Payment
18,undefined,EAID_D8336961_03A6_4f16_B818_23BD7A0C7272,Payment
19,paymentList,EAJava_Payment__,PaymentController
20,undefined,EAID_9F74CB41_FB3C_422d_849D_C3015E000E09,PaymentController
21,ReserveId,EAJava_String,Reservation
22,DoctorId,EAJava_String,Reservation
23,SCId,EAJava_String,Reservation
24,status,EAJava_Status,Reservation
25,slot,EAJava_Slot,Reservation
26,licenseNum,EAJava_String,Reservation
27,insuranceNum,EAJava_String,Reservation
28,extraRequirement,EAJava_String,Reservation
29,undefined,EAID_C2BA0F6E_84B3_422b_A112_F3DD3B1D5846,Reservation
30,approvedList,EAJava_Reservation__,ReservationController
31,pendingList,EAJava_Reservation__,ReservationController
32,declinedList,EAJava_Reservation__,ReservationController
33,undefined,EAID_9F74CB41_FB3C_422d_849D_C3015E000E09,ReservationController
34,surgeryCenters,EAJava_SurgeryCenter__,SCController
35,undefined,EAID_BD312B66_9EBB_4d5c_A2F8_5F0D698F2A66,SCController
36,slots,EAJava_Slot__,ScheduleController
37,SC,EAJava_Surgery_Center,ScheduleController
38,undefined,EAID_9F74CB41_FB3C_422d_849D_C3015E000E09,ScheduleController
39,undefined,EAID_8D03B4C6_6CB9_46d0_914E_5981EDDA8155,ScheduleController
40,SCId,EAJava_String,Slot
41,DoctorId,EAJava_String,Slot
42,startTime,EAJava_Time,Slot
43,endTime,EAJava_Time,Slot
44,Nurses,EAJava_int,Slot
45,Facility,EAJava_String,Slot
46,slotID,EAJava_String,Slot
47,undefined,EAID_4B64EF38_E9C2_42cb_98F2_565878B9F795,Slot
48,undefined,EAID_9C6B1ECB_EB47_4f14_BE34_D767EFB80B62,Slot
49,SCId,EAJava_String,SurgeryCenter
50,scheduleController,EAJava_Schedule_Controller,SurgeryCenter
51,EnterpriseName,EAJava_String,SurgeryCenter
52,RepreFirstName,EAJava_String,SurgeryCenter
53,RepreLastName,EAJava_String,SurgeryCenter
54,licenseNum,EAJava_String,SurgeryCenter
55,description,EAJava_String,SurgeryCenter
56,phone,EAJava_String,SurgeryCenter
57,address,EAJava_String,SurgeryCenter
58,undefined,EAID_937C07C5_BB3B_488d_B030_4F5C3257934E,SurgeryCenter
59,reservationController,EAJava_Reservation_Controller,SystemController
60,scController,EAJava_SCController,SystemController
61,userController,EAJava_User_Controller,SystemController
62,paymentController,EAJava_Payment_Controller,SystemController
63,username,EAJava_string,User
64,password,EAJava_string,User
65,isVisitor,EAJava_boolean,User
66,createdBy,EAJava_date,User
67,undefined,EAID_BD312B66_9EBB_4d5c_A2F8_5F0D698F2A66,User
68,users,EAJava_User__,userController
69,doctorController,EAJava_Doctor_Controller,userController
70,scController,EAJava_Surgery_Center_Controller,userController
71,undefined,EAID_9F74CB41_FB3C_422d_849D_C3015E000E09,userController
