id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,BaseController,1,1,235,0,1,0
2,Doctor,0,0,0,0,0,1
3,DoctorController,0,0,0,0,0,0
4,Maintainer,0,0,0,0,0,0
5,Payment,0,0,0,0,0,0
6,PaymentController,0,0,0,0,0,0
7,Reservation,0,0,0,0,0,0
8,ReservationController,0,0,0,0,0,0
9,SCController,0,0,0,0,0,0
10,ScheduleController,0,0,233,0,0,1
11,Slot,0,0,0,0,0,0
12,Specialists,0,0,0,0,0,0
13,Status,0,0,0,0,0,0
14,SurgeryCenter,0,0,0,0,0,0
15,SystemController,0,0,0,0,0,0
16,User,1,1,2,0,1,0
17,userController,0,0,0,0,0,0
18,ProxyConnector,0,0,0,0,0,0
19,$help://use_case_model_pattern.htm,0,0,0,0,0,0
20,$help://usecasediagram.htm,0,0,0,0,0,0
21,$help://actor.htm,0,0,0,0,0,0
22,System Boundary,0,0,0,0,0,0
23,requiredfieldsmissingprompt,0,0,0,0,0,0
24,Loginbutton,0,0,0,0,0,0
25,declinemessage,0,0,0,0,0,0
