id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,$help://actor.htm,0,0,0,0,0,0
2,$help://usecasediagram.htm,0,0,0,0,0,0
3,$help://use_case_model_pattern.htm,0,0,0,0,0,0
4,System Boundary,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,0,0,0,0,0
6,Check In Form,0,0,0,0,0,0
7,Check in Records,0,0,0,0,0,0
8,Feedback Form,0,0,0,0,0,0
9,Registration Form,0,0,0,0,0,0
10,Reports,0,0,0,0,0,0
11,User Profile,0,0,0,0,0,0
12,queryarticleinfo,0,0,0,0,0,0
13,Admininterface,0,0,0,0,0,0
14,Invalidstoreerrormessage,0,0,0,0,0,0
15,documentuploadpage,0,0,0,0,0,0
