id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,HomePage PA,0,0,293,0,0,0
2,HomePageAdmin,0,0,0,0,0,0
3,MessageController,0,0,0,0,0,0
4,MessageManage Page,0,0,293,0,0,0
5,Staff,0,0,0,0,0,0
6,$help://usecasediagram.htm,0,0,0,0,0,0
7,$help://actor.htm,0,0,0,0,0,0
8,$help://use_case_model_pattern.htm,0,0,0,0,0,0
9,System Boundary,0,0,0,0,0,0
10,checktheexistenceschedule,0,0,0,0,0,0
11,checkconflictsituation,0,0,0,0,0,0
12,emptyannouncementform,0,0,0,0,0,0
13,adduserintodb,0,0,0,0,0,0
14,viewlink,0,0,0,0,0,0
