id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Printer,actor,0,1,Report generation,Report generation,
2,print,control,1,1,Report generation,Report generation,
3,report detail page,boundary,1,3,Report generation,Report generation,
4,user,entity,0,1,Report generation,Report generation,
5,document,entity,0,1,Report generation,Report generation,
6,save report to db,control,4,1,Report generation,Report generation,
7,input information invalid message,boundary,0,3,Report generation,Report generation,
8,role,entity,0,1,Report generation,Report generation,
9,Administrator,actor,5,0,Report generation,Report generation,
10,validate input information for the report,control,2,1,Report generation,Report generation,
11,display report generation page,control,1,1,Report generation,Report generation,
12,case,entity,0,1,Report generation,Report generation,
13,report generation page,boundary,1,4,Report generation,Report generation,
14,unauthorized error message,boundary,0,4,Report generation,Report generation,
15,validate role of user,control,3,1,Report generation,Report generation,
16,Report button,boundary,1,3,Report generation,Report generation,
17,Case Manager,actor,5,0,Report generation,Report generation,
