id,path,functional,transactional,path_length,diagram,useCase
1,Case Manager->Report button->validate role of user->unauthorized error message,EQ,CTRL|INT,undefined,Report generation,Report generation
2,Case Manager->Report button->validate role of user->display report generation page->report generation page,EQ,CTRL|INT,undefined,Report generation,Report generation
3,Case Manager->Report button->validate role of user->role,EI,CTRL|DM|EI,undefined,Report generation,Report generation
4,Case Manager->report detail page->print->Printer,FUNC_NA,CTRL|EXTIVK,undefined,Report generation,Report generation
5,Case Manager->report generation page->validate input information for the report->save report to db->case,EI,CTRL|DM|EI,undefined,Report generation,Report generation
6,Case Manager->report generation page->validate input information for the report->save report to db->report detail page,EQ,CTRL|INT,undefined,Report generation,Report generation
7,Case Manager->report generation page->validate input information for the report->save report to db->user,EI,CTRL|DM|EI,undefined,Report generation,Report generation
8,Case Manager->report generation page->validate input information for the report->save report to db->document,EI,CTRL|DM|EI,undefined,Report generation,Report generation
9,Case Manager->report generation page->validate input information for the report->input information invalid message,EQ,CTRL|INT,undefined,Report generation,Report generation
10,Administrator->report generation page->validate input information for the report->save report to db->case,EI,CTRL|DM|EI,undefined,Report generation,Report generation
11,Administrator->report generation page->validate input information for the report->save report to db->report detail page,EQ,CTRL|INT,undefined,Report generation,Report generation
12,Administrator->report generation page->validate input information for the report->save report to db->user,EI,CTRL|DM|EI,undefined,Report generation,Report generation
13,Administrator->report generation page->validate input information for the report->save report to db->document,EI,CTRL|DM|EI,undefined,Report generation,Report generation
14,Administrator->report generation page->validate input information for the report->input information invalid message,EQ,CTRL|INT,undefined,Report generation,Report generation
15,Administrator->report detail page->print->Printer,FUNC_NA,CTRL|EXTIVK,undefined,Report generation,Report generation
16,Administrator->Report button->validate role of user->unauthorized error message,EQ,CTRL|INT,undefined,Report generation,Report generation
17,Administrator->Report button->validate role of user->display report generation page->report generation page,EQ,CTRL|INT,undefined,Report generation,Report generation
18,Administrator->Report button->validate role of user->role,EI,CTRL|DM|EI,undefined,Report generation,Report generation
