NUM,Effort,Effort_Norm,KSLOC,NT,SWTI,SWTII,SWTIII,UUCW,UAW,UUCP,TCF,EF,Application_Type,Use_Case_Num
1,724,784.8238482,2.95,34,340,238,238,70,9,79,0.9,1.025,Mobile App,10
2,482,580.1462402,6.569,61,610,515,523,110,9,119,0.835,0.995,Mobile App,10
3,257.5,267.6715177,1.5,17,170,118,116,40,6,46,0.925,1.04,Mobile App,5
4,263,285.7530898,7.25,36,360,198,190,75,11,86,0.925,0.995,Web App,10
5,571,623.9073427,8.116,51,510,334,330,105,9,114,0.88,1.04,web App,13
6,268.5,286.2854858,2.258,32,320,272,272,70,6,76,0.915,1.025,Web App,8
7,266,303.5230352,0.73,53,530,556,556,95,9,104,0.855,1.025,web App,8
8,140.5,160.3194979,3.2,30,300,198,206,65,12,77,0.855,1.025,Web App,8
9,1281,1751.435603,7.593,21,210,144,144,50,6,56,0.795,0.92,Web App,7
10,1482.5,1687.055477,1.386,89,890,613,616,180,6,186,0.925,0.95,Mobile App,18
11,617,747.7654901,5.129,75,750,509,513,170,9,179,0.805,1.025,Web App,24
12,1347,1710.150448,3.679,24,240,216,220,60,9,69,0.885,0.89,Web App,8
13,302.5,338.8881109,0.552,79,790,694,700,150,9,159,0.925,0.965,Mobile App,11
14,1965,2247.70511,6.415,80,800,846,938,110,9,119,0.935,0.935,Web App,9
15,1392,981.1453744,4.71,18,180,526,570,65,12,77,1.135,1.25,Mobile&Web App,12
16,804.5,881.8854481,7.365,48,480,250,244,95,9,104,0.89,1.025,Web App,16
17,1592,1652.309289,8.209,53,530,324,326,130,6,136,0.94,1.025,Mobile&Web App,24
18,3113,3721.013627,8.059,70,700,1208,1301,165,8,173,0.94,0.89,Mobile&Web App,24
19,737,478.8046126,3.12,18,180,320,298,140,3,143,1.175,1.31,Mobile Game,28
