NUM,PROJ,Effort,Effort_Norm,KSLOC,NT,SWTI,SWTII,SWTIII,Simple_UC, Average_UC, Complex_UC,UUCW,UAW,UUCP,TCF,EF,UCP,Type,Use_Case_Num
1,f14a_cash_doctor,724,784.8238482,2.95,34,340,238,238,6,4,0,70,9,79,0.9,1.025,72.8775,Mobile App,10
2,f14a_gotrla,482,580.1462402,6.569,61,610,515,523,1,6,3,110,9,119,0.835,0.995,98.868175,Mobile App,10
13,F14a_mobile_application_for_mobile_controlled_lighting,257.5,267.6715177,1.5,17,170,118,116,2,3,0,40,6,46,0.925,1.04,44.252,Mobile App,5
14,F14a_REFERsy,263,285.7530898,7.25,36,360,198,190,6,3,1,75,11,86,0.925,0.995,79.15225,Web App,10
3,F14a_sharethetraining_com,571,623.9073427,8.116,51,510,334,330,5,8,0,105,9,114,0.88,1.04,104.3328,Web App,13
19,F14a_soccer_data_web_crawler,268.5,286.2854858,2.258,32,320,272,272,2,6,0,70,6,76,0.915,1.025,71.2785,Data Analysis,8
4,F14a_tipsure_com,266,303.5230352,0.73,53,530,556,556,2,1,5,95,9,104,0.855,1.025,91.143,Mobile App,8
5,F14a_women_at_work_website_redesign,140.5,160.3194979,3.2,30,300,198,206,4,3,1,65,12,77,0.855,1.025,67.480875,Web App,8
6,F15a_combat_conflict,1281,1751.435603,7.593,21,210,144,144,4,3,0,50,6,56,0.795,0.92,40.9584,Web App,7
7,F15a_construction_meeting_minutes_application,1482.5,1687.055477,1.386,89,890,613,616,4,10,4,180,6,186,0.925,0.95,163.4475,Mobile App,18
8,F15a_nice_ecommerse,617,747.7654901,5.129,75,750,509,513,16,6,2,170,9,179,0.805,1.025,147.697375,Web App,24
9,F15a_tour_conductor,1347,1710.150448,3.679,24,240,216,220,5,2,1,60,9,69,0.885,0.89,54.34785,Web App,8
10,s15b_snap_valet,302.5,338.8881109,0.552,79,790,694,700,0,3,8,150,9,159,0.925,0.965,141.927375,Mobile App,11
11,S15b_we_are_trojans_network,1965,2247.70511,6.415,80,800,846,938,0,5,4,110,9,119,0.935,0.935,104.032775,Web App,9
16,s16_bad_driver,1392,981.1453744,4.71,18,180,526,570,11,1,0,65,12,77,1.135,1.25,109.24375,Mobile&Web App,12
12,S16b_flower_seeker,804.5,881.8854481,7.365,48,480,250,244,13,3,0,95,9,104,0.89,1.025,94.874,Web App,16
17,s16b_Picshare_AA,1592,1652.309289,8.209,53,530,324,326,22,2,0,130,6,136,0.94,1.025,131.036,Mobile&Web App,24
20,s16b_Picshare_RA,2113,2525.699259,8.059,70,700,1208,1301,17,5,2,165,8,173,0.94,0.89,144.7318,Mobile&Web App,24
15,s17_tikiman_go,737,478.8046126,3.12,18,180,320,298,28,0,0,140,3,143,1.175,1.25,220.11275,Mobile Game,28
1,F13a_Yanomamo Interactive CDROM,384.56,260.7186441,4.965,31,310,290,214,0,0,9,135,3,138,1.18,1.25,203.55,Desktop App,9
2,F13a_OnlineWedding_Management_System,3224.72,2186.250847,2.93,88,880,1166,916,0,0,15,225,9,234,1.135,1.25,331.9875,Information System,15
3,S14b_JEP_Online_Platform,1295.04,1037.692308,3.6,261,2610,3145,2444,0,0,20,300,9,309,1.2,1.04,385.632,Web App,20
4,F13a_LiveRiot_Video_Editing_System_and_socialNetworking_enhancement,432,433.3868379,2.042,156,1560,2340,1872,0,0,14,210,12,222,0.89,1.12,221.2896,Web App,14
5,S13b_SomaticsWeb_DataServices,541,764.6102749,2.31,0,390,585,468,0,0,10,150,12,162,0.795,0.89,114.6231,Data Analysis,10
6,F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications,1328,1130.212766,2.32,59,590,822,654,0,0,7,105,9,114,0.94,1.25,133.95,Mobile App,7
9,F13a_Cityof_LosAngeles_Personnel_Department_Mobile_Applications,1328,1613.118737,1.78,59,590,822,654,0,0,7,105,6,111,0.925,0.89,91.38075,Mobile App,7
10,F13a_Surgery_Assist,1092.88,875.7051282,4.095,144,1440,1609,1232,0,0,21,315,12,327,1.2,1.04,408.096,Desktop App,21
11,S14b_Lose4Good.org_Database_Driven_Socially_Connected_Website,1810.32,2198.991801,3,120,1200,1494,1182,0,0,6,90,9,99,0.925,0.89,81.50175,Web App,6
12,F13a_LA_Commons_upgradeof_website,1193,1181.890232,5.4,81,810,1215,972,0,0,11,165,3,168,1.03,0.98,169.5792,Web App,11
14,S14b_Student_Scheduling_Systemb,1393.84,1454.378505,7.776,96,960,1415,1132,0,0,12,180,3,183,0.935,1.025,175.382625,Information System,12
