NUM,PROJ,Effort,Effort_Norm,KSLOC,NT,SWTI,SWTII,Simple_UC, Average_UC, Complex_UC,UUCW,UAW,TCF,EF,UCP,Type,Use_Case_Num
1,f14a_cash_doctor,724,1146.36,2.95,34,238,238,6,4,0,70,9,0.9,1.025,72.8775,Mobile App,10
2,f14a_gotrla,482,567.91,6.569,61,515,523,1,6,3,110,9,0.835,0.995,98.868175,Mobile App,10
13,F14a_mobile_application_for_mobile_controlled_lighting,257.5,1012.18,1.5,17,118,116,2,3,0,40,6,0.925,1.04,44.252,Mobile App,5
14,F14a_REFERsy,263,462.32,7.25,36,198,190,6,3,1,75,11,0.925,0.995,79.15225,Web App,10
3,F14a_sharethetraining_com,571,781.79,8.116,51,334,330,5,8,0,105,9,0.88,1.04,104.3328,web App,13
19,F14a_soccer_data_web_crawler,268.5,206.55,2.258,32,272,272,2,6,0,70,6,0.915,1.025,71.2785,Web App,8
4,F14a_tipsure_com,266,734.24,0.73,53,556,556,2,1,5,95,9,0.855,1.025,91.143,web App,8
5,F14a_women_at_work_website_redesign,140.5,415.83,3.2,30,198,206,4,3,1,65,12,0.855,1.025,67.480875,Web App,8
6,F15a_combat_conflict,1281,1064.7,7.593,21,144,144,4,3,0,50,6,0.795,0.92,40.9584,Web App,7
7,F15a_construction_meeting_minutes_application,1482.5,2837.8,1.386,89,613,616,4,10,4,180,6,0.925,0.95,163.4475,Mobile App,18
8,F15a_nice_ecommerse,617,474.82,5.129,75,509,513,16,6,2,170,9,0.805,1.025,147.697375,Web App,24
9,F15a_tour_conductor,1347,3279.96,3.679,24,216,220,5,2,1,60,9,0.885,0.89,54.34785,Web App,8
18,s14b_location_based_ad,3680,2392.85,21.344,168,2332,2435,28,9,10,380,14,1.12,1.325,584.696,Mobile&Web App,47
10,s15b_snap_valet,302.5,618.1,0.552,79,694,700,0,3,8,150,9,0.925,0.965,141.927375,Mobile App,11
11,S15b_we_are_trojans_network,1965,4531.59,6.415,80,846,938,0,5,4,110,9,0.935,0.935,104.032775,Web App,9
16,s16_bad_driver,1392,881.82,4.71,18,526,570,11,1,0,65,12,1.135,1.25,109.24375,Mobile&Web App,12
12,S16b_flower_seeker,804.5,541.36,7.365,48,250,244,13,3,0,95,9,0.89,1.025,94.874,Web App,16
17,s16b_Picshare_AA,1592,2993.78,8.209,53,324,326,22,2,0,130,6,0.94,1.025,131.036,Mobile&Web App,24
20,s16b_Picshare_RA,3113,5850.41,8.059,70,1208,1301,17,5,2,165,8,0.94,0.89,144.7318,Mobile&Web App,24
15,s17_tikiman_go,737,739.72,3.12,18,320,298,28,0,0,140,3,1.175,1.31,220.11275,Mobile Game,28
