id,attribute,type,element,diagram
1,Demographic Information,int,Reports,Domain Objects
2,Number of clients attended in past 3 weeks,int,Reports,Domain Objects
3,Classes Attending,int,Check In Form,Domain Objects
4,Phone number,int,Check In Form,Domain Objects
5,Date attened,int,Check in Records,Domain Objects
6,Phone Number,int,Check in Records,Domain Objects
7,Type of class attended,int,Check in Records,Domain Objects
8,Age,int,User Profile,Domain Objects
9,Client Satisfaction Rating,int,User Profile,Domain Objects
10,Contact Information,String,User Profile,Domain Objects
11,current/Past Jobs,int,User Profile,Domain Objects
12,Dependents Information,String,User Profile,Domain Objects
13,Income Information,String,User Profile,Domain Objects
14,Interview Outcome,int,User Profile,Domain Objects
15,Job Interests,int,User Profile,Domain Objects
16,Name,String,User Profile,Domain Objects
17,Age,int,Registration Form,Domain Objects
18,Contact Information,String,Registration Form,Domain Objects
19,Current/Past Jobs,String,Registration Form,Domain Objects
20,Dependents Information,String,Registration Form,Domain Objects
21,home Information,String,Registration Form,Domain Objects
22,Jog Interests,String,Registration Form,Domain Objects
23,Name,String,Registration Form,Domain Objects
24,Sex,String,Registration Form,Domain Objects
25,ClientSatisfactionRating,int,Feedback Form,Domain Objects
26,Interview Outcome,int,Feedback Form,Domain Objects
27,PhoneNumber,int,Feedback Form,Domain Objects
