id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Send confirm email,control,0,1,Create Account,Create Account,
2,retrieve registered email,control,1,2,Create Account,Create Account,
3,Delete information cookies,control,1,1,Create Account,Create Account,
4,Customer page,boundary,0,1,Create Account,Create Account,
5,Success action,control,3,1,Create Account,Create Account,
6,Check duplication,control,2,1,Create Account,Create Account,
7,system database account information,entity,2,1,Create Account,Create Account,
8,retrieve information,control,1,2,Create Account,Create Account,
9,Valid information duplication,control,1,1,Create Account,Create Account,
10,Create success page,boundary,1,1,Create Account,Create Account,
11,Web browerser-cookies storage,entity,2,2,Create Account,Create Account,
12,check information correctness,control,2,1,Create Account,Create Account,
13,Store information cookies,control,1,1,Create Account,Create Account,
14,Create account page,boundary,1,3,Create Account,Create Account,
15,direct to create account page,control,1,1,Create Account,Create Account,
16,Information incorrect and redirect back,control,1,2,Create Account,Create Account,
17,First page,boundary,1,1,Create Account,Create Account,
18,Customer,actor,2,0,Create Account,Create Account,
