id,element,useCase,type,component
1,User:404 Forbidden page,view case studies,boundary,Loginpage
2,User:"Relevant Case Studies" button,view case studies,control,Casestudydb
3,User:"Case Studies" content,view case studies,control,Casestudydb
4,Display "case studies" content:"Case Studies" content,view case studies,control,Casestudydb
5,"Relevant Case Studies" button:Check the user's permission,view case studies,control,checkpermission
6,Check the user's permission:"Relevant Case Studies" button,view case studies,control,Casestudydb
7,Direct to micro website management:404 Forbidden page,view case studies,boundary,Loginpage
8,check permission:404 Forbidden page,view case studies,boundary,Loginpage
9,Check the user's permission:check permission,view case studies,control,checkpermission
10,Deactivate the link:Micro website,view case studies,boundary,MicroWebsiteManagementPage
11,Deactivate the link:Direct to micro website management,view case studies,boundary,MicroWebsiteManagementPage
12,Display "case studies" content:Deactivate the link,view case studies,boundary,createaccountbutton
13,Display "case studies" content:Micro website,view case studies,boundary,MicroWebsiteManagementPage
14,check permission:Display "case studies" content,view case studies,control,Casestudydb
15,stl#User:404 Forbidden page,view case studies,Stimulus,undefined
16,stl#User:"Relevant Case Studies" button,view case studies,Stimulus,undefined
17,stl#User:"Case Studies" content,view case studies,Stimulus,undefined
