NUM, UC, total_links, actor_num, boundary_num, control_num, entity_num, element_num, DM, INT, CTRL, EXTIVK, EXTCLL, TRAN_NA, TN, EI, EO, EQ, FUNC_NA, FN, average_degree,average_path_length,ArchDiff,PathNum,EUCPW,EXUCPW
1,Login,12,2,4,3,1,10,3,1,5,1,0,0,5,1,0,0,0,0,1.2,4,4.8,5,10,11
2,View Dashboard Page,7,1,2,2,1,6,1,1,2,0,0,0,2,1,0,0,0,0,1.1666666666666667,4,4.666666666666667,2,5,4
3,Edit Consumer Profile,6,1,2,2,1,6,1,1,2,0,0,0,2,1,0,0,0,0,1,4.5,4.5,2,5,4
4,Share Prices,9,1,3,3,1,8,2,1,3,0,0,0,3,1,0,0,0,0,1.125,4.333333333333333,4.875,3,5,7
5,Share Price through OCR capture,9,1,3,3,1,8,2,1,3,0,0,0,3,1,0,0,0,0,1.125,4.333333333333333,4.875,3,5,7
6,Search Provider,9,1,3,1,1,6,2,1,3,0,0,0,3,1,0,0,0,0,1.5,4,6,3,5,7
7,Follow/unfollow a provider,12,1,3,4,2,10,3,2,5,0,0,0,5,2,0,0,0,0,1.2,4.2,5.04,5,10,11
8,Rate a provider,11,1,3,3,2,9,2,2,4,0,0,0,4,2,0,0,0,0,1.2222222222222223,4,4.888888888888889,4,10,8
9,Add New Provider,8,1,3,2,1,7,2,1,3,0,0,0,3,1,0,0,0,0,1.1428571428571428,4,4.571428571428571,3,5,7
10,Maintain the system,9,1,3,2,1,7,2,2,4,0,0,0,4,2,0,0,0,0,1.2857142857142858,4,5.142857142857143,4,10,8
