id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,$help://usecasediagram.htm,0,0,0,0,0,0
2,$help://use_case_model_pattern.htm,0,0,0,0,0,0
3,$help://actor.htm,0,0,0,0,0,0
4,System Boundary,0,0,0,0,0,0
5,$help://domain_model_pattern.htm,0,0,0,0,0,0
6,Girl Attendance,0,0,0,0,0,0
7,Girl Details,0,0,0,0,0,0
8,Girl Details from RacePlanner,0,0,0,0,0,1
9,Paper Forms,1,1,2,0,1,0
10,Team Details From RacePlanner,0,0,0,0,0,0
11,Team Information,0,0,0,0,0,0
12,User Details,0,0,0,0,0,0
13,Volunteeer Coach Attendance,0,0,0,0,0,0
14,Volunteer Coach Details From RacePlanner,0,0,0,0,0,0
15,Volunteer Couch Details,0,0,0,0,0,0
16,Removesession,0,0,0,0,0,0
17,Dataexportsuccessmessage,0,0,0,0,0,0
18,LogoutButton,0,0,0,0,0,0
