Case,Input,Operation,Data_Object,Return,Send_act,Senct_object,Check,If_Operation,If_act,
case1,Click a specific case,None,None,case information page,request , case database,None,None,None
case2,Reset password,Validate,role/ user,None,None,None,None,validate,failed
case2,Reset password,Validate,role/ user,None,None,None,None,validate,succeed
case2,Submit,Validate,information/ password reset page,case management page,None,None,None,validate,failed
case2,Submit,Validate,information/ password reset page,case management page,None,None,None,validate,succeed
case3,Use Management,Validate,role/ user,None,None,None,None,validate,failed
case3,Use Management,Validate,role/ user,None,None,None,None,validate,succeed
case3,Create user,None,None,user information page,None,None,None,None,None
case3,Submit,Validate,information/ user information page,None,None,None,None,validate,failed
case3,Submit,Validate,information/ user information page,None,None,None,None,validate,succeed
case4,Choose a specific case,None,None,case information page,request /receive, case database /case information,None,None,None
case4,Edit,Validate,role/ user,None,None,None,None,validate,failed
case4,Edit,Validate,role/ user,None,None,None,None,validate,succeed
case4,Submit,Validate,information/ case information page,new case information page,None,None,None,validate,failed
case4,Submit,Validate,information/ case information page,new case information page,None,None,None,validate,succeed
case5,User Management,Validate,role/ user,None,None,None,None,validate,failed
case5,User Management,Validate,role/ user,None,None,None,None,validate,succeed
case5,Check the status of user,None,None,None,None,None,None,status,activated
case5,Check the status of user,None,None,None,None,None,None,status,inactivated
case5,Edit,None,None,user information page for editing,None,None,None,None,None
case5,Submit,Validate,information/ user information page,new user information page,None,None,None,validate,failed
case5,Submit,Validate,information/ user information page,new user information page,None,None,None,validate,succeed
case6,User management,Validate,role/ user,None,None,None,None,validate,failed
case6,User management,Validate,role/ user,None,None,None,None,validate,succeed
case6,Activate,None,None,None,None,None,status of user,status,activated
case6,Activate,None,None,None,None,None,status of user,status,inactivated
case7,User management,Validate,role/ user,None,None,None,None,validate,failed
case7,User management,Validate,role/ user,None,None,None,None,validate,succeed
case7,Inactivate,None,None,None,None,None,status of user,status,inactivated
case7,Inactivate,None,None,None,None,None,status of user,status,activated
case8,Click a specific document record,Validate,role/ users,None,None,None,None,validate,failed
case8,Click a specific document record,Validate,role/ users,None,None,None,None,validate,succeed
case8,Download,Validate,role/ users,None,None,None,None,validate,failed
case8,Download,Validate,role/ users,None,None,None,None,validate,succeed
case9,Create user,Validate,role/ user,None,None,None,None,validate,failed
case9,Create user,Validate,role/ user,None,None,None,None,validate,succeed
case10,Add new,None,None,activity description page,None,None,None,None,None
case10,Save,Validate,description/ activity,None,None,None,None,description,blank
case10,Save,Validate,description/ activity,None,None,None,None,validate,succeed
case11,Report,Validate,role/ user,None,None,None,None,validate,failed
case11,Report,Validate,role/ user,None,None,None,None,validate,succeed
case11,Choose the kind of report want to generate and type in necessary information,Validate,choice/ report,None,None,None,None,choice,blank
case11,Choose the kind of report want to generate and type in necessary information,Validate,choice/ report,None,None,None,None,validate,succeed
case11,Choose the kind of report want to generate and type in necessary information,Validate,choice/ report,None,None,None,None,validate,failed
case11,Choose the kind of report want to generate and type in necessary information,Validate,choice/ report,None,None,None,None,validate,succeed
case11,Print,None,None,None,request , corresponding controller,None,None,None
case12,Add new,Validate,role/ user,None,None,None,None,validate,failed
case12,Add new,Validate,role/ user,None,None,None,None,validate,succeed
case12,Submit,Validate,information/ description,None,None,None,None,validate,failed
case12,Submit,Validate,information/ description,None,None,None,None,validate,succeed
case13,Create new case,Validate,role/ user,None,None,None,None,validate,failed
case13,Create new case,Validate,role/ user,None,None,None,None,validate,succeed
case13,Submit,Validate,information/ case information page,None,None,None,None,validate,failed
case13,Submit,Validate,information/ case information page,None,None,None,None,validate,succeed
