id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Cancel,undefined,undefined,undefined,undefined,undefined,undefined
2,DeleteButton,undefined,undefined,undefined,undefined,undefined,undefined
3,pdfformatisnotvalidmessage,undefined,undefined,undefined,undefined,undefined,undefined
4,Confirmbox,undefined,undefined,undefined,undefined,undefined,undefined
5,User,undefined,undefined,undefined,undefined,undefined,undefined
6,Object1,undefined,undefined,undefined,undefined,undefined,undefined
7,addasubscriberrecorderintothedatabase,undefined,undefined,undefined,undefined,undefined,undefined
8,uploadfile,undefined,undefined,undefined,undefined,undefined,undefined
9,microwebsiteform,undefined,undefined,undefined,undefined,undefined,undefined
10,ViewMarketDirectorAccountsPage,undefined,undefined,undefined,undefined,undefined,undefined
