id,element,useCase,type,component
1,send email to trianer:Email protocol,Request new course,control,Trainer profile page
2,User:home page,Request new course,boundary,Payment page
3,User:Log out button,Request new course,control,Login Page
4,User:course information is no t valid message,Request new course,boundary,Course request page
5,Log out button:clear local cache,Request new course,entity,cache
6,clear local cache:cache,Request new course,entity,cache
7,clear local cache:home page,Request new course,boundary,Payment page
8,save course information for review:course information is no t valid message,Request new course,boundary,Course request page
9,home page:save course information for review,Request new course,control,Course review records
10,save course information for review:send email to trianer,Request new course,control,Trainer profile page
11,stl#User:home page,Request new course,Stimulus,undefined
12,stl#User:Log out button,Request new course,Stimulus,undefined
13,stl#User:course information is no t valid message,Request new course,Stimulus,undefined
