id,element,useCase,type,component
1,User:select the appropriate postings ,Apply,boundary,Job Postings and Accounts Controller
2,User:click submit button,Apply,control,Online Application
3,User:Homepage,Apply,boundary,Login Page
4,User:upload relevant documents,Apply,boundary,upload Documents
5,User:fills out relevant data ,Apply,control,New Account Details
6,Show confirmation page:Approve Hire db,Apply,control,Hiring Report
7,Show confirmation page:Homepage,Apply,boundary,Login Page
8,retrieves the posting selected:Show confirmation page,Apply,control,Online application page
9,add candidate to applicant list :generate a message to inform User ,Apply,control,Update User Profile Page
10,click submit button:add candidate to applicant list ,Apply,control,Online Application
11,responds with a message confirming :add candidate to applicant list ,Apply,control,Online Application
12,fills out relevant data :responds with a message confirming ,Apply,control,Edit Job posting page
13,retrieves the posting selected:responds with a message confirming ,Apply,control,Edit Job posting page
14,upload relevant documents:responds with a message confirming ,Apply,control,Edit Job posting page
15,select the appropriate postings :retrieves the posting selected,Apply,control,Edit Job posting page
16,stl#User:select the appropriate postings ,Apply,Stimulus,undefined
17,stl#User:click submit button,Apply,Stimulus,undefined
18,stl#User:Homepage,Apply,Stimulus,undefined
19,stl#User:upload relevant documents,Apply,Stimulus,undefined
20,stl#User:fills out relevant data ,Apply,Stimulus,undefined
