id,attribute,type,element
1,city,EAJava_char,Consumer Profile
2,email,EAJava_char,Consumer Profile
3,Name,EAJava_char,Consumer Profile
4,password,EAJava_char,Consumer Profile
5,specialityInterested,EAJava_char,Consumer Profile
6,state,EAJava_char,Consumer Profile
7,Username,EAJava_char,Consumer Profile
8,zipcode,EAJava_int,Consumer Profile
9,undefined,EAID_2D8A89EC_8E9E_4221_A322_670FAA646E76,Consumer Profile
10,code,EAJava_char,Medical services pricing information
11,description,EAJava_char,Medical services pricing information
12,file,EAJava_blob,Medical services pricing information
13,medicalInvoice,EAJava_blob,Medical services pricing information
14,picture,EAJava_blob,Medical services pricing information
15,price,EAJava_int,Medical services pricing information
16,ProviderUsername,EAJava_char,Medical services pricing information
17,speciality,EAJava_char,Medical services pricing information
18,undefined,EAID_58EF6445_FBA8_43b1_9DB2_02C672C5035B,Medical services pricing information
19,consumerUsername,EAJava_char,Network Information
20,notifyByMailFlag,EAJava_int,Network Information
21,providerUsername,EAJava_char,Network Information
22,undefined,EAID_E3A9CD90_CE83_4fef_AB57_3192129D90C0,Network Information
23,city,EAJava_char,Provider Profile
24,email,EAJava_char,Provider Profile
25,Lifestyle,EAJava_char,Provider Profile
26,Name,EAJava_char,Provider Profile
27,Password,EAJava_char,Provider Profile
28,speciality,EAJava_char,Provider Profile
29,state,EAJava_char,Provider Profile
30,Username,EAJava_char,Provider Profile
31,zipcode,EAJava_int,Provider Profile
32,undefined,EAID_2D8A89EC_8E9E_4221_A322_670FAA646E76,Provider Profile
33,date,EAJava_Date,Rating and review information
34,rating,EAJava_int,Rating and review information
35,review,EAJava_char,Rating and review information
