id,operation,element
1,helpusecasediagramhtm,$help://usecasediagram.htm
2,Redirecttosearchpage,$help://usecasediagram.htm
3,Popupconfirmdiagram,$help://usecasediagram.htm
4,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
5,Forgottenusernameorpasswordlink,$help://use_case_model_pattern.htm
6,helpactorhtm,$help://actor.htm
7,nonmatcheddoctor,$help://actor.htm
8,Doctor,$help://actor.htm
9,SystemBoundary,System Boundary
10,helpdomainmodelpatternhtm,$help://domain_model_pattern.htm
11,ConsumerProfile,Consumer Profile
12,saveudpatedprofile,Consumer Profile
13,Confirmdialog,Consumer Profile
14,EmailProtocol,Consumer Profile
15,Medicalservicespricinginformation,Medical services pricing information
16,providerinformationinputpage,Medical services pricing information
17,Errormessageforupdatefailure,Medical services pricing information
18,verifyinputmessage,Medical services pricing information
19,sendemailincludingcredential,Medical services pricing information
20,userinfo,Medical services pricing information
21,Sharepricethroughpicturecapturebutton,Medical services pricing information
22,Price,Medical services pricing information
23,pricedetailinputpage,Medical services pricing information
24,NetworkInformation,Network Information
25,Subscription,Network Information
26,ProviderProfile,Provider Profile
27,Addproviderbutton,Provider Profile
28,Providercreatedsuccessmessage,Provider Profile
29,Searchprovidepage,Provider Profile
30,Displayallproviderbasedoncriteria,Provider Profile
31,Ratingandreviewinformation,Rating and review information
32,Rating,Rating and review information
33,Updatesubscriptioninformation,Rating and review information
34,Displayratinginputpage,Rating and review information
35,updatetherecognizedinformationintodatabase,Rating and review information
36,retrievematcheddoctorsfromdb,Rating and review information
37,FeatureList,FeatureList
38,redirecttofeaturepage,FeatureList
39,updatefeaturedetail,FeatureList
