id,operation,element
1,helpusecasediagramhtm,$help://usecasediagram.htm
2,helpusecasemodelpatternhtm,$help://use_case_model_pattern.htm
3,helpactorhtm,$help://actor.htm
4,SystemBoundary,System Boundary
5,sound,System Boundary
6,helpdomainmodelpatternhtm,$help://domain_model_pattern.htm
7,Emulator,Emulator
8,demoselector,Emulator
9,Instruction,Instruction
10,Drag,Instruction Panel
11,navigationinstructioncreatepanel,Instruction Panel
12,displaythedraggedanddroppedinstructions,Instruction Panel
13,CheckConflict,InstructionValidator
14,Validate,InstructionValidator
15,fileinformationinputpage,InstructionValidator
16,MainWindow,MainWindow
17,WinAVR,MainWindow
18,Add,Program
19,Move,Program
20,Remove,Program
21,parametersetdialog,Program
22,Loadprogramtomicrocontroller,Program
23,Drop,ProgramList
24,OpenDialog,ProgramList
25,UpdateContent,ProgramList
26,Programisupdatedmessage,ProgramList
27,GetInstruction,ProgramViewModel
28,GetProgram,ProgramViewModel
29,InsertInstruction,ProgramViewModel
30,InsertProgram,ProgramViewModel
31,ProgramViewModel,ProgramViewModel
32,UpdateProgram,ProgramViewModel
33,Translate,Translator
34,sensor,Translator
35,savefile,savefile
36,Buildbutton,Buildbutton
37,changetheparametersoftheelements,changetheparametersoftheelements
38,popupparameterchangedialog,changetheparametersoftheelements
39,saveparameters,changetheparametersoftheelements
40,Compilingsuccessmessage,Compilingsuccessmessage
41,Ccompiler,Compilingsuccessmessage
