id,attribute,type,element
1,username,EAJava_void,LoginPage
2,password,EAJava_void,LoginPage
3,Marker,EAJava_void,Map
4,QuestionList,EAJava_void,Question Category Screen
5,q_id,EAJava_void,Question Screen
6,Answer,EAJava_void,Question Screen
7,SPSList,EAJava_void,SPSListScreen
8,School,EAJava_void,SPSListScreen
9,Path,EAJava_void,SPSListScreen
10,Survey,EAJava_void,SPSListScreen
11,SPSList,EAJava_void,SurveyConfigurationPage
12,School,EAJava_void,SurveyConfigurationPage
13,Path,EAJava_void,SurveyConfigurationPage
14,Survey,EAJava_void,SurveyConfigurationPage
15,DBList,EAJava_void,SurveyDeploymentPage
16,DBList,EAJava_void,SurveyExportPage
17,SMList,EAJava_void,SurveyImportPage
18,DBList,EAJava_void,SurveyImportPage
