id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,Association Management,0,0,246,0,0,0
2,HomeScreen,0,0,0,0,0,0
3,LoginPage,0,0,0,0,0,0
4,Map,0,0,0,0,0,0
5,Mobile Service,0,0,0,0,0,0
6,MySQLDatabase,0,0,0,0,0,0
7,Question Category Screen,0,0,0,0,0,0
8,Question Screen,0,0,0,0,0,0
9,SPSListScreen,0,0,0,0,0,0
10,Survey Management,0,0,0,0,0,0
11,SurveyConfigurationPage,0,0,246,0,0,0
12,SurveyDeploymentPage,0,0,0,0,0,0
13,SurveyExportPage,0,0,0,0,0,0
14,SurveyImportPage,0,0,0,0,0,0
15,Website Login,0,0,0,0,0,0
16,$help://usecasediagram.htm,0,0,0,0,0,0
17,$help://actor.htm,0,0,0,0,0,0
18,$help://use_case_model_pattern.htm,0,0,0,0,0,0
19,System Boundary,0,0,0,0,0,0
20,answer,0,0,0,0,0,0
21,Object1,0,0,0,0,0,0
22,schoolinformaiton,0,0,0,0,0,0
23,outofavailablestorageerror,0,0,0,0,0,0
