id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,update case information page,control,1,1,Upload document,Upload document,
2,document,entity,0,1,Upload document,Upload document,
3,case information page,boundary,0,3,Upload document,Upload document,
4,invalid description message,boundary,0,3,Upload document,Upload document,
5,save uploaded document,control,2,1,Upload document,Upload document,
6,role,entity,0,1,Upload document,Upload document,
7,document upload page,boundary,1,3,Upload document,Upload document,
8,unauthorized information message,boundary,0,3,Upload document,Upload document,
9,Validate the information of description,control,2,1,Upload document,Upload document,
10,validate role of user,control,3,1,Upload document,Upload document,
11,Add new button,boundary,1,2,Upload document,Upload document,
12,Administrator,actor,5,0,Upload document,Upload document,
13,Case Manager,actor,5,0,Upload document,Upload document,
