id,element,type,outbound_degree,inbound_degree,diagram,useCase
1,Invalid information,boundary,0,2,Signup,Signup
2,Display error message,control,1,1,Signup,Signup
3,User info already created,boundary,0,2,Signup,Signup
4,select admin option,control,1,1,Signup,Signup
5,Notification of unsuccessful registration,boundary,0,2,Signup,Signup
6,notification of successful registration,boundary,0,2,Signup,Signup
7,approve user registration,control,1,1,Signup,Signup
8,Admin,actor,1,0,Signup,Signup
9,View user registration info,boundary,1,2,Signup,Signup
10,user info,entity,0,2,Signup,Signup
11,save user info for admin,control,6,2,Signup,Signup
12,sign up page,boundary,2,2,Signup,Signup
13,open sign up page,control,1,1,Signup,Signup
14,Login Page,boundary,1,1,Signup,Signup
15,User,actor,6,0,Signup,Signup
16,Login Error Page,boundary,0,2,Login,Login
17,Administrator dashboard,boundary,0,2,Login,Login
18,project info,entity,0,1,Login,Login
19,retrieve project information,control,2,1,Login,Login
20,general user dashboard,boundary,0,2,Login,Login
21,Select project page,boundary,1,2,Login,Login
22,user info,entity,0,1,Login,Login
23,verify login information,control,4,1,Login,Login
24,Login page,boundary,1,1,Login,Login
25,User,actor,5,0,Login,Login
26,Error Information,boundary,0,2,Edit Profile,Edit Profile
27,account information,entity,0,1,Edit Profile,Edit Profile
28,update user account information,control,1,1,Edit Profile,Edit Profile
29,verify input information,control,2,1,Edit Profile,Edit Profile
30,Edit Profile Page,boundary,1,1,Edit Profile,Edit Profile
31,User,actor,2,0,Edit Profile,Edit Profile
32,user info,entity,0,1,Approve Signup,Approve Signup
33,update user info,control,1,1,Approve Signup,Approve Signup
34,retrieve request detail,control,2,1,Approve Signup,Approve Signup
35,signup request details,boundary,1,2,Approve Signup,Approve Signup
36,signup request,entity,0,2,Approve Signup,Approve Signup
37,retrieve signup requests,control,2,1,Approve Signup,Approve Signup
38,approve sign up screen,boundary,2,2,Approve Signup,Approve Signup
39,Administrator,actor,2,0,Approve Signup,Approve Signup
40,Attendee is not available,boundary,0,2,Create New Project,Create New Project
41,attendee information list,entity,0,1,Create New Project,Create New Project
42,verify attendee information,control,2,1,Create New Project,Create New Project
43,Edit default attendee list,boundary,1,2,Create New Project,Create New Project
44,Project information error,boundary,0,2,Create New Project,Create New Project
45,Project,entity,0,1,Create New Project,Create New Project
46,Verify project information,control,3,1,Create New Project,Create New Project
47,Create a project screen,boundary,1,1,Create New Project,Create New Project
48,Administrator,actor,4,0,Create New Project,Create New Project
49,pend the task,control,1,1,Accept/Reject Comment,Accept/Reject Comment
50,Change the status of the task,control,1,1,Accept/Reject Comment,Accept/Reject Comment
51,Task,entity,0,2,Accept/Reject Comment,Accept/Reject Comment
52,Update acceptance status,control,3,1,Accept/Reject Comment,Accept/Reject Comment
53,Comment View,boundary,1,1,Accept/Reject Comment,Accept/Reject Comment
54,User Info,entity,0,1,Accept/Reject Comment,Accept/Reject Comment
55,Retrieve comment and user info,control,2,1,Accept/Reject Comment,Accept/Reject Comment
56,Comments,entity,0,3,Accept/Reject Comment,Accept/Reject Comment
57,submitted comments  screen,boundary,1,2,Accept/Reject Comment,Accept/Reject Comment
58,Display the submitted comments screen,control,2,1,Accept/Reject Comment,Accept/Reject Comment
59,Administrator's dashboard,boundary,1,1,Accept/Reject Comment,Accept/Reject Comment
60,Administrator,actor,3,0,Accept/Reject Comment,Accept/Reject Comment
61,Empty task screen,boundary,0,2,View Pending Tasks,View Pending Tasks
62,Query task list,control,3,1,View Pending Tasks,View Pending Tasks
63,Display pending tasks button,boundary,1,1,View Pending Tasks,View Pending Tasks
