id,operation,element
1,Contactsinformationprofile,Contacts information profile
2,Displayatextfiledforinput,Contacts information profile
3,typeininformationofnewuser,Contacts information profile
4,addcontactsintoSalesforce,Contacts information profile
5,confirm,Contacts information profile
6,inputfilterconditions,Contacts information profile
7,Contactslistfile,Contacts list file
8,AddContactpage,Contacts list file
9,Displayuserlist,Contacts list file
10,confirmrequest,Contacts list file
11,clickcontactsid,Contacts list file
12,Displaycontactswhichmeetfilterconditions,Contacts list file
13,displaycontactslistformatlist,Contacts list file
14,DonationinformationProfile,Donation information Profile
15,AdddonationtoSalesforce,Donation information Profile
16,Managerauthorityapproval,Donation information Profile
17,clickdonationid,Donation information Profile
18,Displaydonationswhichmeetfilterconditions,Donation information Profile
19,ProjectProfile,Project Profile
20,clickaddprojectbutton,Project Profile
21,addnewprojectintoSalesforce,Project Profile
22,StaffProfile,Staff Profile
23,checkstaff��sauthority,Staff Profile
24,backupfile,backup file
25,massmailingtemplate,mass mailing template
26,Displayatextfield,mass mailing template
27,SendalinktoworkersemailboxregisteredinSalesforce,mass mailing template
28,User,User
29,Clicksubmit,Clicksubmit
30,clickaddtab,Clicksubmit
31,clicknewuserbutton,Clicksubmit
32,Clickthelink,Clicksubmit
33,clickauser��sid,Clicksubmit
34,Homepage,Homepage
35,Checktheauthorityofmanager,Homepage
36,clickusertabinhisherhomepage,Homepage
37,Loginpage,Homepage
38,Retypenew�Cpassword,Retypenew�Cpassword
39,clickchangepasswordbutton,Retypenew�Cpassword
40,Validatepasswordandusename,Retypenew�Cpassword
41,editworkerfromSalesforce,editworkerfromSalesforce
42,worker��sauthorityapproved,editworkerfromSalesforce
