id,element,useCase,type,component
1,Administrator:Add new button,Upload document,boundary,Addnewbutton
2,Administrator:case information page,Upload document,boundary,Case Manager
3,Administrator:unauthorized information message,Upload document,boundary,Education Level
4,Administrator:document upload page,Upload document,control,Document
5,Administrator:invalid description message,Upload document,boundary,Security Question
6,Case Manager:Add new button,Upload document,boundary,Addnewbutton
7,Case Manager:invalid description message,Upload document,boundary,Security Question
8,Case Manager:document upload page,Upload document,control,Document
9,Case Manager:case information page,Upload document,boundary,Case Manager
10,Case Manager:unauthorized information message,Upload document,boundary,Education Level
11,Add new button:validate role of user,Upload document,control,Limited_User
12,Validate the information of description:invalid description message,Upload document,boundary,Security Question
13,Validate the information of description:save uploaded document,Upload document,control,Document
14,document upload page:Validate the information of description,Upload document,boundary,Security Question
15,update case information page:case information page,Upload document,boundary,Case Manager
16,save uploaded document:document,Upload document,control,Document
17,validate role of user:document upload page,Upload document,control,Document
18,validate role of user:role,Upload document,entity,Groups
19,save uploaded document:update case information page,Upload document,boundary,Case Manager
20,validate role of user:unauthorized information message,Upload document,boundary,Education Level
21,stl#Administrator:Add new button,Upload document,Stimulus,undefined
22,stl#Administrator:case information page,Upload document,Stimulus,undefined
23,stl#Administrator:unauthorized information message,Upload document,Stimulus,undefined
24,stl#Administrator:document upload page,Upload document,Stimulus,undefined
25,stl#Administrator:invalid description message,Upload document,Stimulus,undefined
26,stl#Case Manager:Add new button,Upload document,Stimulus,undefined
27,stl#Case Manager:invalid description message,Upload document,Stimulus,undefined
28,stl#Case Manager:document upload page,Upload document,Stimulus,undefined
29,stl#Case Manager:case information page,Upload document,Stimulus,undefined
30,stl#Case Manager:unauthorized information message,Upload document,Stimulus,undefined
