id,element,useCase,type,component
1,administrator:survey import page,Import a survey from survey monkey,control,SurveyImportPage
2,administrator:error message,Import a survey from survey monkey,control,Association Management
3,administrator:survey list page,Import a survey from survey monkey,boundary,SurveyExportPage
4,retrieve survey detail:survey monkey,Import a survey from survey monkey,control,Survey Management
5,check survey and insert to data to database:survey monkey,Import a survey from survey monkey,control,Survey Management
6,check survey and insert to data to database:survey import page,Import a survey from survey monkey,control,SurveyImportPage
7,check survey and insert to data to database:survey database,Import a survey from survey monkey,entity,MySQLDatabase
8,retrieve the survey detail:check survey and insert to data to database,Import a survey from survey monkey,entity,MySQLDatabase
9,prompt error message:error message,Import a survey from survey monkey,control,Association Management
10,retrieve survey detail:prompt error message,Import a survey from survey monkey,control,SurveyImportPage
11,survey import page:retrieve survey detail,Import a survey from survey monkey,boundary,SurveyDeploymentPage
12,retrieve the survey detail:survey detail,Import a survey from survey monkey,control,Survey Management
13,survey list page:retrieve the survey detail,Import a survey from survey monkey,boundary,SurveyDeploymentPage
14,stl#administrator:survey import page,Import a survey from survey monkey,Stimulus,undefined
15,stl#administrator:error message,Import a survey from survey monkey,Stimulus,undefined
16,stl#administrator:survey list page,Import a survey from survey monkey,Stimulus,undefined
17,undefined,Login,undefined,Object1
18,stl#undefined,Login,Stimulus,undefined
19,administrator:logout button,Logout,boundary,LoginPage
20,administrator:redirect to HKZ login page,Logout,boundary,LoginPage
21,logout button:logout user,Logout,boundary,LoginPage
22,logout user:redirect to HKZ login page,Logout,boundary,LoginPage
23,stl#administrator:logout button,Logout,Stimulus,undefined
24,stl#administrator:redirect to HKZ login page,Logout,Stimulus,undefined
25,administrator:question list,Navigate in the category list,boundary,Question Screen
26,administrator:question,Navigate in the category list,boundary,Question Screen
27,administrator:question category list,Navigate in the category list,boundary,Question Category Screen
28,administrator:shcool list,Navigate in the category list,boundary,SPSListScreen
29,administrator:survey list,Navigate in the category list,control,Survey Management
30,administrator:path list,Navigate in the category list,boundary,SPSListScreen
31,administrator:new survey button,Navigate in the category list,control,Survey Management
32,display question list:answer,Navigate in the category list,entity,answer
33,display a quesiton list of selected question type:display question list,Navigate in the category list,boundary,Question Screen
34,display a quesiton list of selected question type:question list,Navigate in the category list,boundary,Question Screen
35,question category list:display a quesiton list of selected question type,Navigate in the category list,boundary,Question Screen
36,display path list:display survey list and question list,Navigate in the category list,boundary,Question Screen
37,display path list:path list,Navigate in the category list,boundary,SPSListScreen
38,display path list:survey list,Navigate in the category list,control,Survey Management
39,shcool list:display path list,Navigate in the category list,boundary,SPSListScreen
40,display question:question,Navigate in the category list,boundary,Question Screen
41,display question:question list,Navigate in the category list,boundary,Question Screen
42,display question list:display question,Navigate in the category list,boundary,Question Screen
43,display question list:question list,Navigate in the category list,boundary,Question Screen
44,display school list:shcool list,Navigate in the category list,boundary,SPSListScreen
45,retrive school path and survey:display school list,Navigate in the category list,boundary,SPSListScreen
46,display survey list and question list:survey list,Navigate in the category list,control,Survey Management
47,new survey button:retrive school path and survey,Navigate in the category list,control,Survey Management
48,retrive school path and survey:survey list,Navigate in the category list,control,Survey Management
49,stl#administrator:question list,Navigate in the category list,Stimulus,undefined
50,stl#administrator:question,Navigate in the category list,Stimulus,undefined
51,stl#administrator:question category list,Navigate in the category list,Stimulus,undefined
52,stl#administrator:shcool list,Navigate in the category list,Stimulus,undefined
53,stl#administrator:survey list,Navigate in the category list,Stimulus,undefined
54,stl#administrator:path list,Navigate in the category list,Stimulus,undefined
55,stl#administrator:new survey button,Navigate in the category list,Stimulus,undefined
56,administrator:success message,add a school by name or address,control,Survey Management
57,administrator:same school and name message,add a school by name or address,control,Association Management
58,administrator:school list page,add a school by name or address,boundary,SPSListScreen
59,display error message for same name and address:same school and name message,add a school by name or address,control,Association Management
60,retrieve school information from db:display error message for same name and address,add a school by name or address,control,Association Management
61,insert the school and address:school informaiton,add a school by name or address,entity,administrator
62,insert the school and address:success message,add a school by name or address,control,Survey Management
63,retrieve school information from db:insert the school and address,add a school by name or address,control,HomeScreen
64,retrieve school information from db:school informaiton,add a school by name or address,entity,administrator
65,school list page:retrieve school information from db,add a school by name or address,boundary,Question Category Screen
66,stl#administrator:success message,add a school by name or address,Stimulus,undefined
67,stl#administrator:same school and name message,add a school by name or address,Stimulus,undefined
68,stl#administrator:school list page,add a school by name or address,Stimulus,undefined
69,administrator:insert success,add markers,boundary,Mobile Service
70,administrator:error message for over 500 characters,add markers,boundary,errormessageforover500characters
71,administrator:map of selected paths,add markers,boundary,Map
72,insert the comment:comment,add markers,control,HomeScreen
73,comment text over map:insert the comment,add markers,control,HomeScreen
74,display comment box over map:comment text over map,add markers,control,Survey Management
75,display comment box over map:question list,add markers,boundary,Question Screen
76,map of selected paths:display comment box over map,add markers,control,Survey Management
77,display question:question list,add markers,boundary,Question Screen
78,display question:insert success,add markers,boundary,Mobile Service
79,insert the comment:display question,add markers,boundary,Question Screen
80,insert the comment:error message for over 500 characters,add markers,boundary,errormessageforover500characters
81,insert the comment:insert success,add markers,boundary,Mobile Service
82,stl#administrator:insert success,add markers,Stimulus,undefined
83,stl#administrator:error message for over 500 characters,add markers,Stimulus,undefined
84,stl#administrator:map of selected paths,add markers,Stimulus,undefined
85,administrator:school list page,add path,boundary,SPSListScreen
86,administrator:success message,add path,control,Survey Management
87,administrator:map view,add path,boundary,Map
88,drap starting point and type path name:success message,add path,control,Survey Management
89,drap starting point and type path name:save path and location information,add path,control,SurveyConfigurationPage
90,map view:drap starting point and type path name,add path,control,Association Management
91,pin the location in map:map view,add path,boundary,Map
92,save path and location information:path and location information,add path,control,Association Management
93,school list page:pin the location in map,add path,control,Association Management
94,stl#administrator:school list page,add path,Stimulus,undefined
95,stl#administrator:success message,add path,Stimulus,undefined
96,stl#administrator:map view,add path,Stimulus,undefined
97,administrator:quetion category list,answer survey questions,boundary,Question Category Screen
98,administrator:question list,answer survey questions,boundary,Question Screen
99,administrator:category button,answer survey questions,boundary,Question Category Screen
100,display next question:answer,answer survey questions,entity,answer
101,execute featurena and display categories:category button,answer survey questions,boundary,Question Category Screen
102,display a comment question:question list,answer survey questions,boundary,Question Screen
103,display a comment question:display tally question,answer survey questions,boundary,Question Screen
104,display next question:display a comment question,answer survey questions,boundary,Question Screen
105,display a function menu:question list,answer survey questions,boundary,Question Screen
106,display a function menu:execute featurena and display categories,answer survey questions,boundary,Question Category Screen
107,display tally question:display a function menu,answer survey questions,control,Association Management
108,display next question:question list,answer survey questions,boundary,Question Screen
109,update the answer  in the temporary storage file:display next question,answer survey questions,boundary,Question Screen
110,display tally question:question list,answer survey questions,boundary,Question Screen
111,execute featurena and display categories:quetion category list,answer survey questions,boundary,Question Category Screen
112,question list:update the answer  in the temporary storage file,answer survey questions,entity,System Boundary
113,update the answer  in the temporary storage file:temporary storage file,answer survey questions,entity,System Boundary
114,stl#administrator:quetion category list,answer survey questions,Stimulus,undefined
115,stl#administrator:question list,answer survey questions,Stimulus,undefined
116,stl#administrator:category button,answer survey questions,Stimulus,undefined
117,administrator:path list,associate a survey with a path,boundary,pathdb
118,administrator:success message,associate a survey with a path,control,Survey Management
119,administrator:school list amd survey list page,associate a survey with a path,boundary,SurveyExportPage
120,check if association between path and survey in db:path and location information,associate a survey with a path,control,Association Management
121,check if association between path and survey in db:insert an association into db,associate a survey with a path,control,Association Management
122,path list:check if association between path and survey in db,associate a survey with a path,control,Association Management
123,insert an association into db:path and location information,associate a survey with a path,control,Association Management
124,insert an association into db:success message,associate a survey with a path,control,Survey Management
125,load path list from the database:path db,associate a survey with a path,boundary,pathdb
126,load path list from the database:path list,associate a survey with a path,boundary,pathdb
127,school list amd survey list page:load path list from the database,associate a survey with a path,entity,MySQLDatabase
