id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,weight,undefined,undefined,undefined,undefined,undefined,undefined
2,Theweightloseraddonesponsorsuccessfullymessage,undefined,undefined,undefined,undefined,undefined,undefined
3,redirecttheusertocreatgoalpage,undefined,undefined,undefined,undefined,undefined,undefined
4,invokeaddcharityusecase,undefined,undefined,undefined,undefined,undefined,undefined
5,errorinaccessfacebookinformation,undefined,undefined,undefined,undefined,undefined,undefined
6,emailprototocol,undefined,undefined,undefined,undefined,undefined,undefined
7,Homepage,undefined,undefined,undefined,undefined,undefined,undefined
8,exceedthetimelimite,undefined,undefined,undefined,undefined,undefined,undefined
9,invlidpattern,undefined,undefined,undefined,undefined,undefined,undefined
10,goal,undefined,undefined,undefined,undefined,undefined,undefined
11,updatethebenchmark,undefined,undefined,undefined,undefined,undefined,undefined
