id,element,attributeNum,operationNum,instanceVarNum,externalOperNum,parameterNum,weightedOperNum,numberOfDerivedClasses,numberOfChildren,numberOfClassesInherited,depthInheritanceTree,numberOfDerivingClasses,isTopLevelClass,numberOfClassesInheritedFrom,numberOfInheritanceRelationships,numberOfAssociatedClasses,numberOfAssociatingClasses,numberOfAssociationRelationships,numberOfUsedClasses,numberOfUsingClasses,numberOfUsageRelationships,couplingBetweenObjects
1,Actor,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
2,photo list,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
3,cancel deletion,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
4,select photos,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
5,change mode,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
6,confirm delete photos,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
7,photo,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
8,Pop up photo connection error,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
9,User,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
10,Search box,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
11,Event list,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
12,Admin page,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
13,Get event list,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
14,Display event list,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
15,Get photo list,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
16,Event,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
17,display photo list,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
18,pop up event connection error,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
19,User list,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
20,Account,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
21,Get user list,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
22,Display user list,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
23,delete expired location photos automatically,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
24,delete photos related to expired events automatically,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
25,Delete expired events automatically,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
26,Sign up Screen,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
27,Display pop-up "Password do not match" on Sign up Screen,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
28,Display pop-up "invalid Useername or Username is already in use" on Sign Up Screen,0,0,0,0,0,0,0,0,0,0,0,true,0,0,0,0,0,0,0,0,0
