id,element,useCase,type,component
1,User:no activity message,View social feed,control,Message
2,User:Home link,View social feed,boundary,LinkedIn API
3,User:activity list,View social feed,entity,ActivityLogger
4,Home link:retrive recent activities,View social feed,entity,ActivityLogger
5,retrive recent activities:Home link,View social feed,boundary,LinkedIn API
6,Show corresponding status:no activity message,View social feed,control,Message
7,categorize activities:Show corresponding status,View social feed,control,UserRecommender
8,categorize activities:activity list,View social feed,entity,ActivityLogger
9,retrive recent activities:categorize activities,View social feed,entity,ActivityLogger
10,retrive recent activities:no activity message,View social feed,control,Message
11,retrive recent activities:recent activities,View social feed,entity,ActivityLogger
12,stl#User:no activity message,View social feed,Stimulus,undefined
13,stl#User:Home link,View social feed,Stimulus,undefined
14,stl#User:activity list,View social feed,Stimulus,undefined
