bayesian_mmre,bayesian_pred15,bayesian_pred25,bayesian_pred50,apriori_mmre,apriori_pred15,apriori_pred25,apriori_pred50,original_mmre,original_pred15,original_pred25,original_pred50,regression_mmre,regression_pred15,regression_pred25,regression_pred50
0.27706659,0.25,0.5,1,0.85650511,0,0.25,0.5,0.867392,0,0.25,0.5,0.7394599,0.25,0.25,0.5
0.7343168,0.6666667,0.6666667,0.6666667,0.6755367,0.6666667,0.6666667,0.6666667,0.69764543,0.6666667,0.6666667,0.6666667,0.58927514,0.6666667,0.6666667,0.6666667
0.05370035,1,1,1,0.67618377,0,0,0,0.66200521,0,0,0.3333333,0.60769163,0,0,0
1.01997396,0,0,0.75,1.58380863,0.25,0.25,0.5,1.58582084,0.25,0.25,0.75,1.34302082,0,0.25,0.5
1.84825004,0.3333333,0.3333333,0.3333333,1.80176193,0.3333333,0.3333333,0.3333333,1.79077822,0.3333333,0.3333333,0.3333333,1.69831393,0,0,0.3333333
0.82374562,0.3333333,0.3333333,0.6666667,0.54819855,0,0,0.3333333,0.56455043,0,0,0.3333333,0.65910882,0,0,0.3333333
0.27362692,0.25,0.5,1,0.57316287,0.25,0.5,0.5,0.62631322,0.25,0.25,0.5,0.46419644,0.25,0.5,0.5
0.0396909,1,1,1,0.02875035,1,1,1,0.02367384,1,1,1,0.09307375,0.6666667,1,1
1.58320085,0.3333333,0.3333333,0.6666667,0.80467201,0.3333333,0.3333333,0.6666667,0.81533214,0.3333333,0.3333333,0.6666667,0.88689018,0.3333333,0.6666667,0.6666667
0.49117489,0.25,0.25,0.5,1.27545778,0.25,0.25,0.25,1.20125465,0.25,0.25,0.5,1.8453503,0,0,0.25
