D2,bayesian_mmre,bayesian_pred15,bayesian_pred25,bayesian_pred50,apriori_mmre,apriori_pred15,apriori_pred25,apriori_pred50,original_mmre,original_pred15,original_pred25,original_pred50,regression_mmre,regression_pred15,regression_pred25,regression_pred50
,0.1266368,0.75,0.75,1,0.2068031,0.25,0.875,0.875,0.2067567,0.25,0.875,0.875,0.2807499,0.5,0.5,0.875
,0.2109661,0.2857143,0.4285714,1,0.2060175,0.4285714,0.5714286,1,0.2084745,0.4285714,0.7142857,1,0.2434323,0.4285714,0.7142857,0.8571429
,0.1533584,0.7142857,0.7142857,1,0.3463629,0.1428571,0.1428571,0.8571429,0.3579854,0,0.1428571,0.8571429,0.2711715,0.1428571,0.4285714,0.8571429
,0.2202402,0.2857143,0.5714286,1,0.2784926,0.2857143,0.7142857,0.7142857,0.2708963,0.2857143,0.7142857,0.7142857,0.368584,0.2857143,0.4285714,0.7142857
,0.3458536,0.1428571,0.2857143,0.8571429,0.3847666,0.4285714,0.4285714,0.5714286,0.3775081,0.4285714,0.4285714,0.5714286,0.4358304,0.2857143,0.5714286,0.5714286
,0.1748159,0.4285714,0.7142857,1,0.2578725,0.2857143,0.5714286,0.8571429,0.2619959,0.1428571,0.5714286,0.8571429,0.2008248,0.5714286,0.5714286,1
,0.2159004,0.2857143,0.7142857,1,0.2460811,0.2857143,0.4285714,1,0.24288,0.2857143,0.4285714,1,0.217445,0.2857143,0.7142857,1
,0.2871782,0.1428571,0.4285714,0.8571429,0.3064998,0.1428571,0.2857143,1,0.303969,0.1428571,0.2857143,1,0.312073,0,0.4285714,1
,0.1841054,0.5714286,0.8571429,0.8571429,0.3414801,0.1428571,0.1428571,1,0.3502347,0.1428571,0.1428571,1,0.3410155,0,0.1428571,1
,0.1727737,0.5714286,0.7142857,1,0.179078,0.5714286,0.7142857,1,0.1788949,0.5714286,0.7142857,1,0.1828199,0.5714286,0.7142857,0.8571429
