id,element,type,outboundDegree,inboundDegree,diagram,useCase
1,Invalid input information,boundary,0,2,Post an update,Post an update,
2,refresh social feed,control,2,1,Post an update,Post an update,
3,create an update record,control,3,1,Post an update,Post an update,
4,latest updates,boundary,0,3,Post an update,Post an update,
5,validate update,control,4,1,Post an update,Post an update,
6,update panel,boundary,2,2,Post an update,Post an update,
7,update,entity,0,2,Post an update,Post an update,
8,show update panel,control,1,2,Post an update,Post an update,
9,update choice panel,boundary,1,1,Post an update,Post an update,
10,User,actor,4,0,Post an update,Post an update,
