id,element,NOCH,DIT,CBO,NUMS,NCI,NCIF
1,volunteer,undefined,undefined,undefined,undefined,undefined,undefined
2,errorlertaboutconfliect,undefined,undefined,undefined,undefined,undefined,undefined
3,emptyannouncementform,undefined,undefined,undefined,undefined,undefined,undefined
4,successmessage,undefined,undefined,undefined,undefined,undefined,undefined
5,redirecttoapagewiththecurerntsiteslist,undefined,undefined,undefined,undefined,undefined,undefined
6,displayinvalidemailformat,undefined,undefined,undefined,undefined,undefined,undefined
7,checkuscidexistornot,undefined,undefined,undefined,undefined,undefined,undefined
8,searchpanal,undefined,undefined,undefined,undefined,undefined,undefined
9,logoutbutton,undefined,undefined,undefined,undefined,undefined,undefined
10,ddd,undefined,undefined,undefined,undefined,undefined,undefined
11,viewlink,undefined,undefined,undefined,undefined,undefined,undefined
12,addstudentinfo,undefined,undefined,undefined,undefined,undefined,undefined
